Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,469,000","5,469,000","5,524,000","5,387,000","5,430,000"
Cost of Revenue,"3,653,000","3,653,000","3,710,000","3,637,000","3,695,000"
Gross Profit,"1,816,000","1,816,000","1,814,000","1,750,000","1,735,000"
Operating Expense,"1,022,000","1,022,000","1,291,000","1,087,000","1,067,000"
Operating Income,"794,000","794,000","523,000","663,000","668,000"
Net Non Operating Interest Income Expense,"-184,000","-184,000","-161,000","-161,000","-151,000"
Other Income Expense,"352,000","352,000","939,000","149,000","294,000"
Pretax Income,"962,000","962,000","1,301,000","651,000","811,000"
Tax Provision,"30,000","30,000","150,000","80,000","40,000"
Net Income Common Stockholders,"920,000","920,000","1,087,000","564,000","762,000"
Average Dilution Earnings,-,-,-,-,0
Diluted NI Available to Com Stockholders,"920,000","920,000","1,087,000","564,000","762,000"
Basic EPS,-,-,0.0015,0,0.001
Diluted EPS,-,-,0.0015,0,0.001
Basic Average Shares,-,-,"739,800","738,600","743,000"
Diluted Average Shares,-,-,"740,600","739,100","743,700"
Total Operating Income as Reported,"799,000","799,000","530,000","676,000","684,000"
Total Expenses,"4,675,000","4,675,000","5,001,000","4,724,000","4,762,000"
Net Income from Continuing & Discontinued Operation,"920,000","920,000","1,087,000","564,000","762,000"
Normalized Income,"592,541","592,541","282,804","459,624","502,465"
Interest Income,"32,000","32,000","15,000","6,000","3,000"
Interest Expense,"211,000","211,000","170,000","161,000","148,000"
Net Interest Income,"-184,000","-184,000","-161,000","-161,000","-151,000"
EBIT,"1,173,000","1,173,000","1,471,000","812,000","959,000"
EBITDA,"1,849,000",-,-,-,-
Reconciled Cost of Revenue,"3,653,000","3,653,000","3,710,000","3,637,000","3,695,000"
Reconciled Depreciation,"676,000","676,000","944,000","751,000","724,000"
Net Income from Continuing Operation Net Minority Interest,"920,000","920,000","1,087,000","564,000","762,000"
Total Unusual Items Excluding Goodwill,"338,000","338,000","909,000","119,000","273,000"
Total Unusual Items,"338,000","338,000","909,000","119,000","273,000"
Normalized EBITDA,"1,511,000","1,511,000","1,506,000","1,444,000","1,410,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"10,541","10,541","104,804","14,624","13,465"
