Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"76,536,000","77,147,000","79,590,000","79,139,000","79,920,000"
Cost of Revenue,"40,169,000","40,659,000","42,655,000","42,913,000","41,625,000"
Gross Profit,"36,367,000","36,488,000","36,936,000","36,227,000","38,294,000"
Operating Expense,"27,298,000","25,857,000","23,651,000","24,372,000","25,102,000"
Operating Income,"9,069,000","10,631,000","13,285,000","11,855,000","13,192,000"
Net Non Operating Interest Income Expense,"-1,130,000","-995,000","-459,000","-471,000","-522,000"
Other Income Expense,"294,000","529,000","-1,482,000","17,000","-339,000"
Pretax Income,"8,234,000","10,166,000","11,342,000","11,400,000","12,330,000"
Tax Provision,"-784,000","731,000","2,619,000","5,642,000","449,000"
Net Income Common Stockholders,"9,015,000","9,431,000","8,728,000","5,753,000","11,872,000"
Average Dilution Earnings,"-2,000",0,"-6,000","-2,000",0
Diluted NI Available to Com Stockholders,"9,013,000","9,431,000","8,722,000","5,752,000","11,872,000"
Basic EPS,-,0.0106,0.0096,0.0062,0.0124
Diluted EPS,-,0.0106,0.0095,0.0061,0.0124
Basic Average Shares,-,"887,200","912,000","932,800","955,400"
Diluted Average Shares,-,"892,800","916,300","937,400","958,700"
Total Expenses,"67,467,000","66,516,000","66,306,000","67,285,000","66,727,000"
Net Income from Continuing & Discontinued Operation,"9,015,000","9,431,000","8,728,000","5,753,000","11,872,000"
Normalized Income,"8,886,600","9,242,904","8,702,237","5,817,400","12,125,856"
Interest Income,"330,000","349,000","264,000","144,000","108,000"
Interest Expense,"1,460,000","1,344,000","723,000","615,000","630,000"
Net Interest Income,"-1,130,000","-995,000","-459,000","-471,000","-522,000"
EBIT,"9,694,000","11,510,000","12,065,000","12,015,000","12,960,000"
EBITDA,"15,941,000",-,-,-,-
Reconciled Cost of Revenue,"34,871,000","35,362,000","38,610,000","38,868,000","37,747,000"
Reconciled Depreciation,"6,247,000","6,059,000","4,480,000","4,541,000","4,381,000"
Net Income from Continuing Operation Net Minority Interest,"9,018,000","9,435,000","8,723,000","5,758,000","11,881,000"
Total Unusual Items Excluding Goodwill,"219,000","207,000","27,000","-99,000","-254,000"
Total Unusual Items,"219,000","207,000","27,000","-99,000","-254,000"
Normalized EBITDA,"15,722,000","17,362,000","16,518,000","16,655,000","17,595,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"87,600","14,904","6,237","-39,600","-9,144"
