Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,079,000","6,547,000","6,276,000","5,834,000","5,958,000"
Cost of Revenue,"1,588,000","1,345,000","1,297,000","1,205,000","1,459,000"
Gross Profit,"5,491,000","5,202,000","4,979,000","4,629,000","4,499,000"
Operating Expense,"2,587,000","2,527,000","2,362,000","2,214,000","2,252,000"
Operating Income,"2,904,000","2,675,000","2,617,000","2,415,000","2,247,000"
Net Non Operating Interest Income Expense,"-254,000","-250,000","-222,000","-187,000","-178,000"
Other Income Expense,"41,000","56,000","125,000","289,000","-40,000"
Pretax Income,"2,691,000","2,481,000","2,520,000","2,517,000","2,029,000"
Tax Provision,"565,000","521,000","500,000","-25,000","580,000"
Net Income Common Stockholders,"2,099,000","1,933,000","1,988,000","2,514,000","1,422,000"
Diluted NI Available to Com Stockholders,"2,099,000","1,933,000","1,988,000","2,514,000","1,422,000"
Basic EPS,-,-,0.0035,0.0043,0.0024
Diluted EPS,-,-,0.0034,0.0042,0.0024
Basic Average Shares,-,-,"575,000","589,000","595,000"
Diluted Average Shares,-,-,"579,000","594,000","599,000"
Total Operating Income as Reported,"2,890,000","2,673,000","2,583,000","2,379,000","2,167,000"
Rent Expense Supplemental,"72,000","68,000","68,000","69,000","70,000"
Total Expenses,"4,175,000","3,872,000","3,659,000","3,419,000","3,711,000"
Net Income from Continuing & Discontinued Operation,"2,099,000","1,933,000","1,988,000","2,514,000","1,422,000"
Normalized Income,"2,110,061","1,934,580","2,015,200","2,549,640","1,478,800"
Interest Income,"32,000","35,000","22,000",-,-
Interest Expense,"286,000","285,000","244,000","187,000","178,000"
Net Interest Income,"-254,000","-250,000","-222,000","-187,000","-178,000"
EBIT,"2,977,000","2,766,000","2,764,000","2,704,000","2,207,000"
EBITDA,"3,638,000",-,-,-,-
Reconciled Cost of Revenue,"1,588,000","1,345,000","1,297,000","1,205,000","1,459,000"
Reconciled Depreciation,"661,000","662,000","586,000","535,000","610,000"
Net Income from Continuing Operation Net Minority Interest,"2,099,000","1,933,000","1,988,000","2,514,000","1,422,000"
Total Unusual Items Excluding Goodwill,"-14,000","-2,000","-34,000","-36,000","-80,000"
Total Unusual Items,"-14,000","-2,000","-34,000","-36,000","-80,000"
Normalized EBITDA,"3,652,000","3,430,000","3,384,000","3,275,000","2,897,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,939",-420,"-6,800",-360,"-23,200"
