Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,457,188","2,406,908","2,213,242","1,969,058","1,775,423"
Cost of Revenue,"1,063,646","1,041,359","971,700","871,676","799,987"
Gross Profit,"1,393,542","1,365,549","1,241,542","1,097,382","975,436"
Operating Expense,"829,509","812,703","750,207","684,354","625,197"
Operating Income,"564,033","552,846","491,335","413,028","350,239"
Net Non Operating Interest Income Expense,"-29,834","-30,628","-33,593","-31,971","-28,393"
Pretax Income,"534,199","522,218","457,742","381,057","321,846"
Tax Provision,"97,260","94,426","80,695","117,788","99,792"
Net Income Common Stockholders,"436,866","427,720","377,031","263,144","222,045"
Diluted NI Available to Com Stockholders,"436,866","427,720","377,031","263,144","222,045"
Basic EPS,-,-,0.0043,0.003,0.0025
Diluted EPS,-,-,0.0043,0.0029,0.0024
Basic Average Shares,-,-,"86,864","87,769","89,732"
Diluted Average Shares,-,-,"88,470","89,567","90,884"
Total Operating Income as Reported,"564,033","552,846","491,335","413,028","350,239"
Total Expenses,"1,893,155","1,854,062","1,721,907","1,556,030","1,425,184"
Net Income from Continuing & Discontinued Operation,"436,866","427,720","377,031","263,144","222,045"
Normalized Income,"436,866","427,720","377,031","263,144","222,045"
Interest Income,527,427,"1,151","5,254","3,656"
Interest Expense,"30,361","31,055","34,744","37,225","32,049"
Net Interest Income,"-29,834","-30,628","-33,593","-31,971","-28,393"
EBIT,"564,560","553,273","492,486","418,282","353,895"
EBITDA,"654,420",-,-,-,-
Reconciled Cost of Revenue,"1,063,646","1,041,359","971,700","871,676","799,987"
Reconciled Depreciation,"89,860","88,011","83,178","83,140","78,218"
Net Income from Continuing Operation Net Minority Interest,"436,866","427,720","377,031","263,144","222,045"
Total Unusual Items Excluding Goodwill,-,-,-,0,0
Total Unusual Items,-,-,-,0,0
Normalized EBITDA,"654,420","641,284","575,664","501,422","432,113"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
