Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,466,804","2,494,573","2,483,666","2,287,312","2,113,043"
Cost of Revenue,"1,353,648","1,369,539","1,365,771","1,260,634","1,182,276"
Gross Profit,"1,113,156","1,125,034","1,117,895","1,026,678","930,767"
Operating Expense,"520,950","524,987","536,724","524,940","498,994"
Operating Income,"592,206","600,047","581,171","501,738","431,773"
Net Non Operating Interest Income Expense,"-44,297","-44,341","-44,134","-44,889","-45,616"
Other Income Expense,"-24,508","-22,803","-8,098","-1,576","-17,645"
Pretax Income,"523,401","532,903","528,939","455,273","368,512"
Tax Provision,"106,150","107,382","118,366","118,016","97,403"
Net Income Common Stockholders,"417,251","425,521","410,573","337,257","271,109"
Diluted NI Available to Com Stockholders,"417,251","425,521","410,573","337,257","271,109"
Basic EPS,-,0.0056,0.0054,0.0044,0.0036
Diluted EPS,-,0.0056,0.0053,0.0044,0.0035
Basic Average Shares,-,"75,594","76,412","76,232","75,803"
Diluted Average Shares,-,"76,454","77,563","77,333","76,758"
Total Operating Income as Reported,"571,162","579,003","569,088","502,556","405,801"
Total Expenses,"1,874,598","1,894,526","1,902,495","1,785,574","1,681,270"
Net Income from Continuing & Discontinued Operation,"417,251","425,521","410,573","337,257","271,109"
Normalized Income,"417,251","442,314","419,949","336,651","290,224"
Interest Expense,"44,297","44,341","44,134","44,889","45,616"
Net Interest Income,"-44,297","-44,341","-44,134","-44,889","-45,616"
EBIT,"567,698","577,244","573,073","500,162","414,128"
EBITDA,"645,912",-,-,-,-
Reconciled Cost of Revenue,"1,353,648","1,369,539","1,365,771","1,260,634","1,182,276"
Reconciled Depreciation,"78,214","76,876","77,544","84,216","86,892"
Net Income from Continuing Operation Net Minority Interest,"417,251","425,521","410,573","337,257","271,109"
Total Unusual Items Excluding Goodwill,-,"-21,044","-12,083",818,"-25,972"
Total Unusual Items,-,"-21,044","-12,083",818,"-25,972"
Normalized EBITDA,"645,912","675,164","662,700","583,560","526,992"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"-4,251","-2,707",211.862,"-6,857"
