Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,189,999","5,140,084","3,977,539","3,398,719","3,116,350"
Cost of Revenue,"3,042,643","3,027,336","2,294,832","1,919,718","1,717,280"
Gross Profit,"2,147,356","2,112,748","1,682,707","1,479,001","1,399,070"
Operating Expense,"1,427,916","1,415,346","1,094,923","878,031","844,250"
Operating Income,"719,440","697,402","587,784","600,970","554,820"
Net Non Operating Interest Income Expense,"-133,789","-138,221","-132,558","-65,363","-52,989"
Other Income Expense,"-9,267","-1,729","-7,469","1,438","21,886"
Pretax Income,"576,384","557,452","447,757","537,045","523,717"
Tax Provision,"100,119","97,184","107,976","241,380","118,686"
Net Income Common Stockholders,"471,651","455,873","337,302","295,665","405,031"
Diluted NI Available to Com Stockholders,"471,651","455,873","337,302","295,665","405,031"
Basic EPS,-,-,0.0038,0.0037,0.0051
Diluted EPS,-,-,0.0038,0.0037,0.0051
Basic Average Shares,-,-,"87,551","79,070","79,648"
Diluted Average Shares,-,-,"88,121","79,370","79,981"
Total Operating Income as Reported,"697,622","665,270","583,882","581,443","567,356"
Total Expenses,"4,470,559","4,442,682","3,389,755","2,797,749","2,561,530"
Net Income from Continuing & Discontinued Operation,"471,651","455,873","337,302","295,665","405,031"
Normalized Income,"489,679","482,414","369,720","307,381","395,341"
Interest Expense,"133,789","138,221","132,558","65,363","52,989"
Net Interest Income,"-133,789","-138,221","-132,558","-65,363","-52,989"
EBIT,"710,173","695,673","580,315","602,408","576,706"
EBITDA,"1,032,323",-,-,-,-
Reconciled Cost of Revenue,"2,914,315","2,897,103","2,196,919","1,836,445","1,638,574"
Reconciled Depreciation,"322,150","323,330","173,792","117,967","102,469"
Net Income from Continuing Operation Net Minority Interest,"471,651","455,873","337,302","295,665","405,031"
Total Unusual Items Excluding Goodwill,"-21,818","-32,132","-42,712","-19,527","12,536"
Total Unusual Items,"-21,818","-32,132","-42,712","-19,527","12,536"
Normalized EBITDA,"1,054,141","1,051,135","796,819","739,902","666,639"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,790","-5,591","-10,294","-7,811","2,846"
