Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"3,556,000","3,543,000","3,333,000","2,752,000","2,398,373"
Cost of Revenue,"1,054,000","1,076,000","1,033,000","926,000","731,925"
Gross Profit,"2,502,000","2,467,000","2,300,000","1,826,000","1,666,448"
Operating Expense,"1,532,000","1,482,000","1,417,000","1,220,000","1,087,420"
Operating Income,"970,000","985,000","883,000","606,000","579,028"
Net Non Operating Interest Income Expense,"18,000","23,000","-13,000","-18,000","-23,382"
Other Income Expense,"75,000","110,000","24,000","455,000","5,532"
Pretax Income,"1,063,000","1,118,000","894,000","1,043,000","561,178"
Tax Provision,"124,000","128,000","112,000","365,000","133,088"
Net Income Common Stockholders,"942,000","1,002,000","826,000","725,000","454,106"
Diluted NI Available to Com Stockholders,"942,000","1,002,000","826,000","725,000","454,106"
Basic EPS,-,-,0.0056,0.005,0.0031
Diluted EPS,-,-,0.0056,0.0049,0.0031
Basic Average Shares,-,-,"147,000","146,000","146,788"
Diluted Average Shares,-,-,"149,000","148,000","148,040"
Total Operating Income as Reported,"970,000","985,000","883,000","606,000","587,032"
Total Expenses,"2,586,000","2,558,000","2,450,000","2,146,000","1,819,345"
Net Income from Continuing & Discontinued Operation,"942,000","1,002,000","826,000","726,000","462,649"
Normalized Income,"942,000","1,002,000","826,000","726,000","456,542"
Interest Income,"66,000","75,000","44,000","19,000","9,799"
Interest Expense,"48,000","52,000","57,000","37,000","33,181"
Net Interest Income,"18,000","23,000","-13,000","-18,000","-23,382"
EBIT,"1,111,000","1,170,000","951,000","1,080,000","594,359"
EBITDA,"1,296,000",-,-,-,-
Reconciled Cost of Revenue,"1,054,000","1,076,000","1,033,000","926,000","731,925"
Reconciled Depreciation,"185,000","188,000","179,000","156,000","140,915"
Net Income from Continuing Operation Net Minority Interest,"942,000","1,002,000","826,000","726,000","462,649"
Total Unusual Items Excluding Goodwill,-,-,0,0,"8,004"
Total Unusual Items,-,-,0,0,"8,004"
Normalized EBITDA,"1,296,000","1,358,000","1,130,000","1,236,000","727,270"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,"1,897"
