Breakdown,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016
Total Revenue,"4,449,000","4,414,600","4,009,200","3,599,700","2,734,800"
Cost of Revenue,"1,673,000","1,657,000","1,495,700","1,348,400","1,037,700"
Gross Profit,"2,776,000","2,757,600","2,513,500","2,251,300","1,697,100"
Operating Expense,"1,314,600","1,666,500","1,730,100","1,614,100","1,252,700"
Operating Income,"1,461,400","1,091,100","783,400","637,200","444,400"
Net Non Operating Interest Income Expense,"-252,100","-257,800","-222,600","-152,100","-118,100"
Other Income Expense,"-86,000","-90,400","-136,500","-113,000","-184,000"
Pretax Income,"1,123,300","742,900","424,300","372,100","142,300"
Tax Provision,"247,800","242,600","-115,400","-49,900","-5,100"
Earnings from Equity Interest Net of Tax,"-1,100",-900,-500,"-5,000","-4,500"
Net Income Common Stockholders,"878,000","502,700","542,300","416,900","152,800"
Diluted NI Available to Com Stockholders,"878,000","502,700","542,300","416,900","152,800"
Basic EPS,-,0.0013,0.0014,0.001,0
Diluted EPS,-,0.0012,0.0013,0.001,0
Basic Average Shares,-,"399,500","394,400","400,300","309,200"
Diluted Average Shares,-,"409,200","406,900","416,200","316,300"
Total Operating Income as Reported,"1,399,400","1,003,500","646,900","524,200","260,400"
Total Expenses,"2,987,600","3,323,500","3,225,800","2,962,500","2,290,400"
Net Income from Continuing & Discontinued Operation,"878,000","502,700","542,300","416,900","152,800"
Normalized Income,"926,323","561,655","641,945","484,700","254,000"
Interest Income,"1,900","1,900","3,100","2,200","1,300"
Interest Expense,"254,000","259,700","225,700","154,300","119,400"
Net Interest Income,"-252,100","-257,800","-222,600","-152,100","-118,100"
EBIT,"1,377,300","1,002,600","650,000","526,400","261,700"
EBITDA,"1,953,400",-,-,-,-
Reconciled Cost of Revenue,"1,673,000","1,657,000","1,495,700","1,348,400","1,037,700"
Reconciled Depreciation,"576,100","573,100","541,200","492,500","335,700"
Net Income from Continuing Operation Net Minority Interest,"878,000","502,700","542,300","416,900","143,600"
Total Unusual Items Excluding Goodwill,"-62,000","-87,600","-136,500","-113,000","-184,000"
Total Unusual Items,"-62,000","-87,600","-136,500","-113,000","-184,000"
Normalized EBITDA,"2,015,400","1,663,300","1,327,700","1,131,900","781,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-13,677","-28,645","-36,855","-45,200","-73,600"
