Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"75,732,000","71,965,000","70,848,000","62,761,000","59,387,000"
Cost of Revenue,"30,665,000","29,825,000","27,111,000","23,692,000","23,196,000"
Gross Profit,"45,067,000","42,140,000","43,737,000","39,069,000","36,191,000"
Operating Expense,"19,613,000","19,712,000","20,493,000","20,749,000","21,431,000"
Operating Income,"25,454,000","22,428,000","23,244,000","18,320,000","14,760,000"
Net Non Operating Interest Income Expense,"-45,000","-6,000","-30,000","-205,000","-511,000"
Other Income Expense,"716,000","1,636,000","103,000","2,237,000","-1,313,000"
Pretax Income,"26,125,000","24,058,000","23,317,000","20,352,000","12,936,000"
Tax Provision,"3,390,000","3,010,000","2,264,000","10,751,000","2,620,000"
Net Income Common Stockholders,"22,735,000","21,048,000","21,053,000","9,601,000","10,316,000"
Diluted NI Available to Com Stockholders,"22,735,000","21,048,000","21,053,000","9,601,000","10,316,000"
Basic EPS,-,0.0048,0.0046,0.002,0.0022
Diluted EPS,-,0.0047,0.0045,0.002,0.0021
Basic Average Shares,-,"4,417,000","4,611,000","4,701,000","4,730,000"
Diluted Average Shares,-,"4,473,000","4,701,000","4,835,000","4,875,000"
Total Operating Income as Reported,"24,899,000","22,035,000","23,316,000","17,936,000","12,874,000"
Total Expenses,"50,278,000","49,537,000","47,604,000","44,441,000","44,627,000"
Net Income from Continuing & Discontinued Operation,"22,735,000","21,048,000","21,053,000","9,601,000","10,316,000"
Normalized Income,"23,302,396","20,999,875","21,100,859","8,101,600","11,385,574"
Interest Income,"441,000","483,000","438,000","441,000","222,000"
Interest Expense,"486,000","489,000","468,000","646,000","733,000"
Net Interest Income,"-45,000","-6,000","-30,000","-205,000","-511,000"
EBIT,"26,611,000","24,547,000","23,785,000","20,998,000","13,669,000"
EBITDA,"37,862,000",-,-,-,-
Reconciled Cost of Revenue,"30,665,000","19,199,000","18,226,000","15,740,000","15,700,000"
Reconciled Depreciation,"11,251,000","10,826,000","9,085,000","8,129,000","7,790,000"
Net Income from Continuing Operation Net Minority Interest,"22,735,000","21,048,000","21,053,000","9,601,000","10,316,000"
Total Unusual Items Excluding Goodwill,"-652,000","55,000","-53,000","2,499,000","-1,342,000"
Total Unusual Items,"-652,000","55,000","-53,000","2,499,000","-1,342,000"
Normalized EBITDA,"38,514,000","35,318,000","32,923,000","26,628,000","22,801,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-84,604","6,875","-5,141","999,600","-272,426"
