Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"22,085,000","22,376,000","23,306,000","21,743,000","21,079,000"
Cost of Revenue,"15,085,000","15,268,000","15,555,000","15,300,000","15,152,000"
Gross Profit,"7,000,000","7,108,000","7,751,000","6,443,000","5,927,000"
Operating Expense,"4,735,000","4,719,000","5,283,000","4,599,000","4,327,000"
Operating Income,"2,265,000","2,389,000","2,468,000","1,844,000","1,600,000"
Net Non Operating Interest Income Expense,"-475,000","-491,000","-536,000","-572,000","-520,000"
Other Income Expense,"-620,000","-294,000","-151,000","-424,000","-124,000"
Pretax Income,"1,170,000","1,604,000","1,781,000","848,000","956,000"
Tax Provision,"622,000","634,000","445,000","-1,085,000","247,000"
Earnings from Equity Interest Net of Tax,"105,000","250,000","336,000","177,000","198,000"
Net Income Common Stockholders,"660,000","1,225,000","2,012,000","2,144,000","904,000"
Diluted NI Available to Com Stockholders,"660,000","1,225,000","2,012,000","2,144,000","904,000"
Basic EPS,-,-,0.0049,0.0052,0.0022
Diluted EPS,-,-,0.0048,0.0051,0.0022
Basic Average Shares,-,-,"409,776","413,102","410,909"
Diluted Average Shares,-,-,"414,200","417,700","415,600"
Total Expenses,"19,820,000","19,987,000","20,838,000","19,899,000","19,479,000"
Net Income from Continuing & Discontinued Operation,"660,000","1,225,000","2,012,000","2,144,000","904,000"
Normalized Income,"1,112,600","1,401,400","1,780,250","2,364,400","1,000,760"
Interest Income,"210,000","215,000","198,000","186,000","175,000"
Interest Expense,"685,000","706,000","734,000","758,000","695,000"
Net Interest Income,"-475,000","-491,000","-536,000","-572,000","-520,000"
EBIT,"1,855,000","2,310,000","2,515,000","1,606,000","1,651,000"
EBITDA,"3,169,000",-,-,-,-
Reconciled Cost of Revenue,"15,085,000","15,268,000","15,555,000","15,220,000","15,152,000"
Reconciled Depreciation,"1,314,000","1,306,000","1,328,000","1,423,000","1,227,000"
Net Income from Continuing Operation Net Minority Interest,"660,000","1,225,000","1,667,000","2,110,000","909,000"
Total Unusual Items Excluding Goodwill,"-620,000","-294,000","-151,000","-424,000","-124,000"
Total Unusual Items,"-620,000","-294,000","-151,000","-424,000","-124,000"
Normalized EBITDA,"3,789,000","3,910,000","3,994,000","3,453,000","3,002,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-167,400","-117,600","-37,750","-169,600","-32,240"
