Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,158,000","11,088,000","10,412,000","9,739,000","6,878,000"
Cost of Revenue,"7,376,000","7,300,000","6,746,000","6,301,000","4,750,000"
Gross Profit,"3,782,000","3,788,000","3,666,000","3,438,000","2,128,000"
Operating Expense,"2,945,000","2,936,000","2,857,000","2,616,000","1,300,000"
Operating Income,"837,000","852,000","809,000","822,000","828,000"
Net Non Operating Interest Income Expense,"-434,000","-438,000","-406,000","-339,000","-140,000"
Other Income Expense,"-58,000","-62,000","-75,000","-152,000","-209,000"
Pretax Income,"345,000","352,000","328,000","331,000","479,000"
Tax Provision,"92,000","116,000","59,000","-987,000","345,000"
Earnings from Equity Interest Net of Tax,"-2,000","-9,000","15,000","10,000","-4,000"
Net Income Common Stockholders,"215,000","191,000","259,000","1,309,000","115,000"
Diluted NI Available to Com Stockholders,"215,000","191,000","259,000","1,309,000","115,000"
Basic EPS,-,0,0.0013,0.006,0
Diluted EPS,-,0,0.0012,0.0059,0
Basic Average Shares,-,"195,100","203,700","217,800","149,100"
Diluted Average Shares,-,"199,600","208,200","222,600","152,000"
Total Operating Income as Reported,"760,000","777,000","741,000","719,000","642,000"
Total Expenses,"10,321,000","10,236,000","9,603,000","8,917,000","6,050,000"
Net Income from Continuing & Discontinued Operation,"215,000","191,000","259,000","1,309,000","115,000"
Normalized Income,"289,067","257,330","316,400","1,382,200","245,200"
Interest Income,"9,000","9,000","8,000","7,000","4,000"
Interest Expense,"443,000","447,000","414,000","346,000","144,000"
Net Interest Income,"-434,000","-438,000","-406,000","-339,000","-140,000"
EBIT,"788,000","799,000","742,000","677,000","623,000"
EBITDA,"2,011,000",-,-,-,-
Reconciled Cost of Revenue,"7,376,000","7,300,000","6,746,000","6,301,000","4,750,000"
Reconciled Depreciation,"1,223,000","1,202,000","1,141,000","1,011,000","289,000"
Net Income from Continuing Operation Net Minority Interest,"215,000","191,000","259,000","1,309,000","115,000"
Total Unusual Items Excluding Goodwill,"-101,000","-99,000","-70,000","-122,000","-217,000"
Total Unusual Items,"-101,000","-99,000","-70,000","-122,000","-217,000"
Normalized EBITDA,"2,112,000","2,100,000","1,953,000","1,810,000","1,129,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-26,933","-32,670","-12,600","-48,800","-86,800"
