Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,604,300","4,478,500","3,724,200","3,128,900","2,704,400"
Cost of Revenue,"1,425,500","1,368,300","1,120,100","934,800","814,300"
Gross Profit,"3,178,800","3,110,200","2,604,100","2,194,100","1,890,100"
Operating Expense,"1,773,500","1,735,700","1,404,700","1,139,500","944,900"
Operating Income,"1,405,300","1,374,500","1,199,400","1,054,600","945,200"
Net Non Operating Interest Income Expense,"125,300","127,700","80,100","41,900","35,600"
Pretax Income,"1,530,600","1,502,200","1,279,500","1,096,500","980,800"
Tax Provision,"136,600","120,400","154,500","436,500","244,900"
Net Income Common Stockholders,"1,386,300","1,379,300","1,127,900","660,000","735,900"
Diluted NI Available to Com Stockholders,"1,386,300","1,379,300","1,127,900","660,000","735,900"
Basic EPS,-,0.0119,0.0099,0.0059,0.0064
Diluted EPS,-,0.0115,0.0095,0.0057,0.0062
Basic Average Shares,-,"115,400","113,700","111,700","114,900"
Diluted Average Shares,-,"119,500","118,800","116,300","117,900"
Total Operating Income as Reported,"1,405,300","1,374,500","1,199,400","1,054,600","945,200"
Total Expenses,"3,199,000","3,104,000","2,524,800","2,074,300","1,759,200"
Net Income from Continuing & Discontinued Operation,"1,386,300","1,379,300","1,127,900","660,000","735,900"
Normalized Income,"1,386,300","1,379,300","1,127,900","660,000","735,900"
Net Interest Income,"125,300","127,700","80,100","41,900","35,600"
EBIT,"1,405,300","1,374,500","1,199,400","1,054,600","945,200"
EBITDA,"1,644,500",-,-,-,-
Reconciled Cost of Revenue,"1,425,500","1,368,300","1,120,100","934,800","814,300"
Reconciled Depreciation,"239,200","216,100","133,400","99,100","92,100"
Net Income from Continuing Operation Net Minority Interest,"1,386,300","1,379,300","1,127,900","660,000","735,900"
Normalized EBITDA,"1,644,500","1,590,600","1,332,800","1,153,700","1,037,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
