Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,293,768","4,245,321","3,975,454","3,311,494","2,444,540"
Cost of Revenue,"1,545,201","1,550,568","1,468,800","1,320,198","945,648"
Gross Profit,"2,748,567","2,694,753","2,506,654","1,991,296","1,498,892"
Operating Expense,"2,294,310","2,315,203","2,139,742","1,839,175","1,151,153"
Operating Income,"454,257","379,550","366,912","152,121","347,739"
Net Non Operating Interest Income Expense,"-101,307","-99,805","-124,208","-124,936","-25,116"
Other Income Expense,"-1,410","-4,006","-61,583","-155,002","-34,192"
Pretax Income,"351,540","275,739","181,121","-127,817","288,431"
Tax Provision,"63,948","42,449","58,665","-131,096","94,849"
Net Income Common Stockholders,"287,592","233,290","122,456","3,279","193,582"
Diluted NI Available to Com Stockholders,"287,592","233,290","122,456","3,279","193,582"
Basic EPS,-,-,0.0014,0,0.0023
Diluted EPS,-,-,0.0013,0,0.0023
Basic Average Shares,-,-,"90,827","88,466","82,571"
Diluted Average Shares,-,-,"92,122","89,790","83,820"
Total Operating Income as Reported,"446,006","370,087","259,715","-6,329","305,141"
Total Expenses,"3,839,511","3,865,771","3,608,542","3,159,373","2,096,801"
Net Income from Continuing & Discontinued Operation,"287,592","233,290","122,456","3,279","193,582"
Normalized Income,"294,342","243,051","164,199","98,349","222,165"
Interest Income,-,"3,026","2,566","3,011","2,449"
Interest Expense,"104,333","102,831","126,774","127,947","27,565"
Net Interest Income,"-101,307","-99,805","-124,208","-124,936","-25,116"
EBIT,"455,873","378,570","307,895",130,"315,996"
EBITDA,"668,890",-,-,-,-
Reconciled Cost of Revenue,"1,545,201","1,550,568","1,468,800","1,320,198","945,648"
Reconciled Depreciation,"213,017","211,779","255,601","240,171","61,969"
Net Income from Continuing Operation Net Minority Interest,"287,592","233,290","122,456","3,279","193,582"
Total Unusual Items Excluding Goodwill,"-8,251","-11,538","-61,750","-158,450","-42,598"
Total Unusual Items,"-8,251","-11,538","-61,750","-158,450","-42,598"
Normalized EBITDA,"677,141","601,887","625,246","398,751","420,563"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,501","-1,777","-20,007","-63,380","-14,015"
