Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"9,356,457","9,165,258","8,614,874","7,189,568","6,555,459"
Cost of Revenue,"7,740,697","7,528,921","7,100,175","5,899,941","5,319,612"
Gross Profit,"1,615,760","1,636,337","1,514,699","1,289,627","1,235,847"
Operating Expense,"894,989","902,512","833,678","665,838","514,827"
Operating Income,"720,771","733,825","681,021","623,789","721,020"
Net Non Operating Interest Income Expense,"-51,933","-52,930","-40,203","-28,550","-25,223"
Pretax Income,"668,838","680,895","640,818","595,239","695,797"
Tax Provision,"167,285","164,575","151,233","-91,024","263,707"
Net Income Common Stockholders,"501,553","516,320","489,585","686,263","432,090"
Diluted NI Available to Com Stockholders,"501,553","516,320","489,585","686,263","432,090"
Basic EPS,-,0.0049,0.0045,0.0063,0.0039
Diluted EPS,-,0.0048,0.0044,0.0062,0.0038
Basic Average Shares,-,"106,213","108,711","109,753","111,305"
Diluted Average Shares,-,"108,599","110,428","111,049","113,361"
Total Operating Income as Reported,"720,771","733,825","681,021","623,789","721,020"
Rent Expense Supplemental,"4,665,074","4,528,812","4,434,540","3,650,806","3,255,692"
Total Expenses,"8,635,686","8,431,433","7,933,853","6,565,779","5,834,439"
Interest Income,-,"1,754",224,235,71
Interest Expense,"53,687","54,684","40,427","28,785","25,294"
Net Interest Income,"-51,933","-52,930","-40,203","-28,550","-25,223"
Net Income from Continuing & Discontinued Operation,"501,553","516,320","489,585","686,263","432,090"
Normalized Income,"501,553","516,320","489,585","686,263","432,090"
EBIT,"722,525","735,579","681,245","624,024","721,091"
EBITDA,"1,231,835",-,-,-,-
Reconciled Cost of Revenue,"7,740,697","7,528,921","7,100,175","5,899,941","5,319,612"
Reconciled Depreciation,"509,310","499,145","435,893","383,518","361,510"
Net Income from Continuing Operation Net Minority Interest,"501,553","516,320","489,585","686,263","432,090"
Normalized EBITDA,"1,231,835","1,234,724","1,117,138","1,007,542","1,082,601"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
