Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"1,630,997","1,552,691","1,536,603","1,431,117","1,354,646"
Cost of Revenue,"970,692","923,030","873,642","819,034","773,651"
Gross Profit,"660,305","629,661","662,961","612,083","580,995"
Operating Expense,"292,555","282,376","272,486","247,651","238,827"
Operating Income,"367,750","347,285","390,475","364,432","342,168"
Net Non Operating Interest Income Expense,244,-50,"-1,345",-748,"-1,123"
Other Income Expense,-,-,"1,894","3,270","19,491"
Pretax Income,"367,994","347,235","391,024","366,954","360,536"
Tax Provision,"86,281","75,350","14,364","121,161","111,669"
Net Income Common Stockholders,"281,713","271,885","376,660","245,793","248,867"
Diluted NI Available to Com Stockholders,"281,713","271,885","376,660","245,793","248,867"
Basic EPS,-,0.0035,0.0049,0.0032,0.0032
Diluted EPS,-,0.0035,0.0048,0.0031,0.0031
Basic Average Shares,-,"76,988","77,171","77,423","78,695"
Diluted Average Shares,-,"77,347","77,585","78,255","79,734"
Total Operating Income as Reported,"367,750","347,285","392,369","367,702","361,659"
Total Expenses,"1,263,247","1,205,406","1,146,128","1,066,685","1,012,478"
Net Income from Continuing & Discontinued Operation,"281,713","271,885","376,660","245,793","248,867"
Normalized Income,"281,713","271,885","374,836","243,602","235,418"
Interest Income,"1,187",876,575,248,307
Interest Expense,943,926,"1,920",996,"1,430"
Net Interest Income,244,-50,"-1,345",-748,"-1,123"
EBIT,"368,937","348,161","392,944","367,950","361,966"
EBITDA,"535,191",-,-,-,-
Reconciled Cost of Revenue,"970,692","923,030","873,642","819,034","773,651"
Reconciled Depreciation,"166,254","160,633","151,986","139,786","129,648"
Net Income from Continuing Operation Net Minority Interest,"281,713","271,885","376,660","245,793","248,867"
Total Unusual Items Excluding Goodwill,"-2,912",0,"1,894","3,270","19,491"
Total Unusual Items,"-2,912",0,"1,894","3,270","19,491"
Normalized EBITDA,"535,191","508,794","543,036","504,466","472,123"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,70.078,"1,079","6,042"
