Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"82,729,000","82,059,000","81,581,000","76,450,000","71,890,000"
Cost of Revenue,"28,003,000","27,556,000","27,091,000","25,354,000","21,685,000"
Gross Profit,"54,726,000","54,503,000","54,490,000","51,096,000","50,205,000"
Operating Expense,"33,239,000","33,533,000","33,315,000","31,974,000","29,040,000"
Operating Income,"21,487,000","20,970,000","21,175,000","19,122,000","21,165,000"
Net Non Operating Interest Income Expense,"84,000","39,000","-394,000","-549,000","-358,000"
Other Income Expense,"-2,156,000","-3,681,000","-2,782,000","-900,000","-1,004,000"
Pretax Income,"19,415,000","17,328,000","17,999,000","17,673,000","19,803,000"
Tax Provision,"2,249,000","2,209,000","2,702,000","16,373,000","3,263,000"
Net Income Common Stockholders,"17,166,000","15,119,000","15,297,000","1,300,000","16,540,000"
Diluted NI Available to Com Stockholders,"17,166,000","15,119,000","15,297,000","1,300,000","16,540,000"
Basic EPS,-,0.0057,0.0057,0,0.0061
Diluted EPS,-,0.0056,0.0056,0,0.0059
Basic Average Shares,-,"2,632,507","2,662,324","2,682,525","2,706,511"
Diluted Average Shares,-,"2,684,300","2,728,700","2,745,300","2,788,900"
Total Expenses,"61,242,000","61,089,000","60,406,000","57,328,000","50,725,000"
Net Income from Continuing & Discontinued Operation,"17,166,000","15,119,000","15,297,000","1,300,000","16,540,000"
Normalized Income,"17,420,639","16,128,188","16,467,450","1,730,200","16,974,200"
Interest Income,"325,000","357,000","611,000","385,000","368,000"
Interest Expense,"241,000","318,000","1,005,000","934,000","726,000"
Net Interest Income,"84,000","39,000","-394,000","-549,000","-358,000"
EBIT,"19,656,000","17,646,000","19,004,000","18,607,000","20,529,000"
EBITDA,"26,651,000",-,-,-,-
Reconciled Cost of Revenue,"28,003,000","27,556,000","27,091,000","25,354,000","21,685,000"
Reconciled Depreciation,"6,995,000","7,009,000","6,929,000","5,642,000","3,754,000"
Net Income from Continuing Operation Net Minority Interest,"17,166,000","15,119,000","15,297,000","1,300,000","16,540,000"
Total Unusual Items Excluding Goodwill,"-288,000","-1,156,000","-1,377,000","-717,000","-520,000"
Total Unusual Items,"-288,000","-1,156,000","-1,377,000","-717,000","-520,000"
Normalized EBITDA,"26,939,000","25,811,000","27,310,000","24,966,000","24,803,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-33,361","-146,812","-206,550","-286,800","-85,800"
