Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"114,755,000","115,627,000","109,029,000","99,624,000","95,668,000"
Credit Losses Provision,"-12,375,000","-5,585,000","-4,871,000","-5,290,000","-5,361,000"
Non Interest Expense,"65,952,000","65,497,000","63,394,000","58,434,000","55,771,000"
Pretax Income,"36,428,000","44,545,000","40,764,000","35,900,000","34,536,000"
Tax Provision,"6,311,000","8,114,000","8,290,000","11,459,000","9,803,000"
Net Income Common Stockholders,"28,320,000","34,642,000","30,709,000","22,567,000","22,583,000"
Diluted NI Available to Com Stockholders,"28,320,000","34,642,000","30,709,000","22,567,000","22,583,000"
Basic EPS,-,0.0108,0.009,0.0064,0.0062
Diluted EPS,-,0.0107,0.009,0.0063,0.0062
Basic Average Shares,-,"3,221,500","3,396,400","3,551,600","3,618,500"
Diluted Average Shares,-,"3,230,400","3,414,000","3,576,800","3,649,800"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"44,856,000","51,660,000","50,188,000","44,807,000","40,722,000"
Net Income from Continuing & Discontinued Operation,"30,117,000","36,431,000","32,474,000","24,441,000","24,733,000"
Normalized Income,"30,117,000","36,431,000","32,474,000","24,441,000","24,733,000"
Total Money Market Investments,"10,209,000","11,607,000","10,454,000","6,509,000","3,796,000"
Reconciled Depreciation,"8,527,000","8,368,000","7,791,000","6,179,000","5,478,000"
Net Income from Continuing Operation Net Minority Interest,"30,117,000","36,431,000","32,474,000","24,441,000","24,733,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
