Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,"13,349,713","12,737,868","14,984,646","10,022,788","10,964,157"
Cost of Revenue,"10,765,339","10,260,840","12,156,276","8,250,536","9,196,326"
Gross Profit,"2,584,374","2,477,028","2,828,370","1,772,252","1,767,831"
Operating Expense,"2,076,208","2,072,177","2,180,399","1,379,983","1,429,233"
Operating Income,"508,166","404,851","647,971","392,269","338,598"
Net Non Operating Interest Income Expense,"-51,425","-74,360","-67,776","-3,287","-7,412"
Other Income Expense,"-232,437","20,468","-25,490","4,235","-44,463"
Pretax Income,"224,304","350,959","554,705","393,217","286,723"
Tax Provision,"29,511","36,954","381,563","105,842","72,208"
Net Income Common Stockholders,"830,765","846,769","162,643","290,650","210,463"
Diluted NI Available to Com Stockholders,"830,765","846,769","162,643","290,650","210,463"
Basic EPS,-,0.0061,0.0013,0.0024,0.0018
Diluted EPS,-,0.0061,0.0013,0.0024,0.0017
Basic Average Shares,-,"137,907","137,536","119,370","120,133"
Diluted Average Shares,-,"139,206","138,712","120,147","121,483"
Total Operating Income as Reported,"508,166","404,851","647,971","392,269","338,598"
Total Expenses,"12,841,547","12,333,017","14,336,675","9,630,519","10,625,559"
Net Income from Continuing & Discontinued Operation,"831,692","847,979","163,431","293,727","210,463"
Normalized Income,"168,770","290,960","178,737","285,774","241,438"
Interest Income,"7,644","9,487","8,984","8,748","7,848"
Interest Expense,"59,069","83,847","76,760","12,035","15,260"
Net Interest Income,"-51,425","-74,360","-67,776","-3,287","-7,412"
EBIT,"283,373","434,806","631,465","405,252","301,983"
EBITDA,"459,524",-,-,-,-
Reconciled Cost of Revenue,"10,765,339","10,260,840","12,156,276","8,250,536","9,196,326"
Reconciled Depreciation,"176,151","169,269","198,587","122,513","129,971"
Net Income from Continuing Operation Net Minority Interest,"168,770","290,960","163,431","293,727","210,463"
Total Unusual Items Excluding Goodwill,-,-,"-20,967","10,880","-41,410"
Total Unusual Items,-,-,"-20,967","10,880","-41,410"
Normalized EBITDA,"459,524","604,075","851,019","516,885","473,364"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,"-5,661","2,927","-10,435"
