Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,313,000","6,368,000","6,424,000","6,255,000","4,990,000"
Credit Losses Provision,"-742,000","-445,000","-246,000","-229,000","-266,000"
Non Interest Expense,"3,869,000","3,901,000","3,975,000","4,098,000","3,756,000"
Pretax Income,"1,702,000","2,022,000","2,203,000","1,928,000","968,000"
Tax Provision,"255,000","314,000","344,000","637,000","179,000"
Net Income Common Stockholders,"1,352,000","1,620,000","1,800,000","1,226,000","754,000"
Diluted NI Available to Com Stockholders,"1,352,000","1,620,000","1,800,000","1,226,000","754,000"
Basic EPS,-,0.0016,0.0017,0.0011,0
Diluted EPS,-,0.0016,0.0017,0.0011,0
Basic Average Shares,-,"992,091","1,040,890","1,072,078","927,816"
Diluted Average Shares,-,"1,002,254","1,054,682","1,088,593","938,536"
Rent Expense Supplemental,"133,000","123,000","120,000","92,000","59,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,171,000","3,464,000","3,663,000","3,548,000","2,653,000"
Net Income from Continuing & Discontinued Operation,"1,456,000","1,717,000","1,866,000","1,296,000","791,000"
Normalized Income,"1,447,000","1,708,000","1,859,000","1,289,000","790,000"
Reconciled Depreciation,"237,000","241,000","382,000","407,000","314,000"
Net Income from Continuing Operation Net Minority Interest,"1,447,000","1,708,000","1,859,000","1,289,000","790,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
