Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"25,175,000","24,977,000","26,268,000","26,232,000","26,487,000"
Cost of Revenue,"17,181,000","16,830,000","17,347,000","16,529,000","16,901,000"
Gross Profit,"7,994,000","8,147,000","8,921,000","9,703,000","9,586,000"
Operating Expense,"3,211,000","3,178,000","3,205,000","2,930,000","3,444,000"
Operating Income,"4,783,000","4,969,000","5,716,000","6,773,000","6,142,000"
Net Non Operating Interest Income Expense,"-1,347,000","-1,361,000","-1,284,000","-1,234,000","-1,134,000"
Other Income Expense,"-855,000","-947,000","-15,753,000","-9,000","15,000"
Pretax Income,"2,581,000","2,661,000","-11,321,000","5,530,000","5,023,000"
Tax Provision,"671,000","728,000","-1,067,000","-5,460,000","1,381,000"
Net Income Common Stockholders,"1,908,000","1,935,000","-10,192,000","10,999,000","3,452,000"
Diluted NI Available to Com Stockholders,"1,908,000","1,935,000","-10,192,000","10,999,000","3,452,000"
Basic EPS,-,-,-0.0084,0.009,0.0028
Diluted EPS,-,-,-0.0084,0.009,0.0028
Basic Average Shares,-,-,"1,219,000","1,218,051","1,217,000"
Diluted Average Shares,-,-,"1,219,000","1,228,939","1,226,000"
Total Operating Income as Reported,"3,278,000","3,070,000","-10,220,000","6,773,000","6,142,000"
Total Expenses,"20,392,000","20,008,000","20,552,000","19,459,000","20,345,000"
Net Income from Continuing & Discontinued Operation,"1,908,000","1,935,000","-10,192,000","10,999,000","3,632,000"
Normalized Income,"3,205,261","3,313,674","4,246,016","10,999,000","3,632,000"
Interest Expense,"1,350,000","1,361,000","1,284,000","1,234,000","1,134,000"
Net Interest Income,"-1,347,000","-1,361,000","-1,284,000","-1,234,000","-1,134,000"
EBIT,"3,931,000","4,022,000","-10,037,000","6,764,000","6,157,000"
EBITDA,"4,929,000",-,-,-,-
Reconciled Cost of Revenue,"17,181,000","16,830,000","17,347,000","16,529,000","16,901,000"
Reconciled Depreciation,"998,000","994,000","983,000","1,036,000","1,337,000"
Net Income from Continuing Operation Net Minority Interest,"1,908,000","1,935,000","-10,192,000","10,999,000","3,632,000"
Total Unusual Items Excluding Goodwill,"-1,753,000","-1,899,000","-15,936,000",-,-
Total Unusual Items,"-1,753,000","-1,899,000","-15,936,000",-,-
Normalized EBITDA,"6,682,000","6,915,000","6,882,000","7,800,000","7,494,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-455,739","-520,326","-1,497,984",0,0
