Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"5,605,266","4,568,904","4,036,701","3,480,014","2,984,493"
Cost of Revenue,"2,317,589","1,869,377","1,447,369","1,287,547","1,163,391"
Gross Profit,"2,961,024","2,699,527","2,589,332","2,192,467","1,821,102"
Operating Expense,"1,575,750","1,310,154","1,052,138","916,206","860,657"
Operating Income,"1,385,274","1,389,373","1,537,194","1,276,261","960,445"
Net Non Operating Interest Income Expense,"-120,203","-84,237","-77,507","-99,206","-108,380"
Other Income Expense,"-23,972","-8,905","-3,756","-3,809","6,127"
Pretax Income,"1,249,143","1,296,231","1,455,931","1,173,246","858,192"
Tax Provision,"112,469","121,214","653,666","247,170","153,770"
Net Income Common Stockholders,"1,137,653","1,175,617","802,265","926,076","704,422"
Diluted NI Available to Com Stockholders,"1,137,653","1,175,617","802,265","926,076","704,422"
Basic EPS,-,0.0075,0.0051,0.0059,0.0045
Diluted EPS,-,0.0075,0.0051,0.0059,0.0045
Basic Average Shares,-,"156,053","156,346","156,468","155,869"
Diluted Average Shares,-,"156,949","157,378","157,481","156,779"
Total Operating Income as Reported,-,-,"1,537,194","1,276,261","960,445"
Total Expenses,"3,893,339","3,179,531","2,499,507","2,203,753","2,024,048"
Net Income from Continuing & Discontinued Operation,"1,137,653","1,175,617","802,265","926,076","704,422"
Normalized Income,"1,137,653","1,176,498","802,934","926,431","705,181"
Interest Income,-,"40,367","36,869","23,270","14,507"
Interest Expense,"152,526","124,604","114,376","122,476","122,887"
Net Interest Income,"-120,203","-84,237","-77,507","-99,206","-108,380"
EBIT,"1,401,669","1,420,835","1,570,307","1,295,722","981,079"
EBITDA,"1,700,520",-,-,-,-
Reconciled Cost of Revenue,"2,317,589","1,869,377","1,447,369","1,287,547","1,163,391"
Reconciled Depreciation,"388,453","233,224","62,684","57,836","66,932"
Net Income from Continuing Operation Net Minority Interest,"1,023,377","1,175,617","802,265","926,076","704,422"
Total Unusual Items Excluding Goodwill,-,-972,-917,-450,-924
Total Unusual Items,-,-972,-917,-450,-924
Normalized EBITDA,"1,790,122","1,655,031","1,633,908","1,354,008","1,048,935"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,-91.368,-247.59,-94.95,-165.396
