Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"18,826,000","18,450,000","18,486,000","18,259,000","18,202,000"
Cost of Revenue,"12,428,000","12,415,000","12,889,000","11,706,000","11,551,000"
Gross Profit,"6,398,000","6,035,000","5,597,000","6,553,000","6,651,000"
Operating Expense,"3,158,000","3,044,000","3,368,000","3,254,000","3,334,000"
Operating Income,"3,240,000","2,991,000","2,229,000","3,299,000","3,317,000"
Net Non Operating Interest Income Expense,"-247,000","-250,000","-253,000","-308,000","-308,000"
Other Income Expense,"-91,000","-91,000","-163,000",-,-
Pretax Income,"2,902,000","2,650,000","1,813,000","2,991,000","3,009,000"
Tax Provision,"630,000","576,000","471,000","776,000","922,000"
Earnings from Equity Interest Net of Tax,"134,000","123,000","103,000","104,000","132,000"
Net Income Common Stockholders,"2,363,000","2,157,000","1,410,000","2,278,000","2,166,000"
Diluted NI Available to Com Stockholders,"2,363,000","2,157,000","1,410,000","2,278,000","2,166,000"
Basic EPS,-,0.0063,0.0041,0.0064,0.006
Diluted EPS,-,0.0062,0.004,0.0064,0.006
Basic Average Shares,-,"343,471","348,148","353,727","359,204"
Diluted Average Shares,-,"345,600","349,600","355,900","361,700"
Total Operating Income as Reported,"3,240,000","2,991,000","2,229,000","3,299,000","3,317,000"
Total Expenses,"15,586,000","15,459,000","16,257,000","14,960,000","14,885,000"
Net Income from Continuing & Discontinued Operation,"2,363,000","2,157,000","1,410,000","2,278,000","2,166,000"
Normalized Income,"2,363,000","2,157,000","1,410,000","2,278,000","2,166,000"
Interest Income,"10,000","11,000","10,000","10,000","11,000"
Interest Expense,"257,000","261,000","263,000","318,000","319,000"
Net Interest Income,"-247,000","-250,000","-253,000","-308,000","-308,000"
EBIT,"3,159,000","2,911,000","2,076,000","3,309,000","3,328,000"
EBITDA,"4,055,000",-,-,-,-
Reconciled Cost of Revenue,"12,428,000","12,415,000","12,889,000","11,706,000","11,551,000"
Reconciled Depreciation,"896,000","917,000","882,000","724,000","705,000"
Net Income from Continuing Operation Net Minority Interest,"2,363,000","2,157,000","1,410,000","2,278,000","2,166,000"
Normalized EBITDA,"4,055,000","3,828,000","2,958,000","4,033,000","4,033,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
