Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,886,000","13,209,000","14,144,000","13,705,000","13,058,000"
Cost of Revenue,"5,361,000","5,674,000","6,718,000","6,606,000","5,707,000"
Gross Profit,"7,525,000","7,535,000","7,426,000","7,099,000","7,351,000"
Operating Expense,"3,598,000","3,604,000","3,465,000","3,542,000","3,392,000"
Operating Income,"3,927,000","3,931,000","3,961,000","3,557,000","3,959,000"
Net Non Operating Interest Income Expense,"-1,777,000","-1,801,000","-1,917,000","-1,832,000","-1,806,000"
Other Income Expense,"45,000","1,035,000","462,000","436,000","-515,000"
Pretax Income,"2,195,000","3,165,000","2,506,000","2,161,000","1,638,000"
Tax Provision,"814,000","926,000","587,000","1,938,000","917,000"
Net Income Common Stockholders,"1,316,000","2,178,000","1,473,000","22,000","552,000"
Diluted NI Available to Com Stockholders,"1,316,000","2,178,000","1,473,000","22,000","552,000"
Basic EPS,-,0,0,0,0
Diluted EPS,-,0,0,0,0
Basic Average Shares,-,"2,264,000","2,216,000","2,230,000","2,230,000"
Diluted Average Shares,-,"2,264,000","2,216,000","2,230,000","2,230,000"
Total Operating Income as Reported,"3,898,000","4,873,000","3,794,000","3,544,000","3,572,000"
Total Expenses,"8,959,000","9,278,000","10,183,000","10,148,000","9,099,000"
Interest Expense,"1,777,000","1,801,000","1,917,000","1,832,000","1,806,000"
Net Interest Income,"-1,777,000","-1,801,000","-1,917,000","-1,832,000","-1,806,000"
Net Income from Continuing & Discontinued Operation,"1,328,000","2,190,000","1,609,000","183,000","708,000"
Normalized Income,"1,346,246","1,524,006","1,943,742","280,800","1,306,200"
EBIT,"3,972,000","4,966,000","4,423,000","3,993,000","3,444,000"
EBITDA,"6,355,000",-,-,-,-
Reconciled Cost of Revenue,"5,361,000","5,674,000","6,718,000","6,606,000","5,707,000"
Reconciled Depreciation,"2,383,000","2,411,000","2,297,000","2,261,000","2,209,000"
Net Income from Continuing Operation Net Minority Interest,"1,328,000","2,190,000","1,609,000","183,000","708,000"
Total Unusual Items Excluding Goodwill,"-29,000","942,000","-437,000","-163,000","-997,000"
Total Unusual Items,"-29,000","942,000","-437,000","-163,000","-997,000"
Normalized EBITDA,"6,384,000","6,435,000","7,157,000","6,417,000","6,650,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-10,754","276,006","-102,258","-65,200","-398,800"
