Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"122,286,000","122,286,000","121,162,000","122,662,000","115,337,000"
Cost of Revenue,"95,294,000","95,294,000","94,894,000","95,662,000","89,502,000"
Gross Profit,"26,992,000","26,992,000","26,268,000","27,000,000","25,835,000"
Operating Expense,"24,741,000","24,741,000","23,654,000","24,915,000","22,399,000"
Operating Income,"2,251,000","2,251,000","2,614,000","2,085,000","3,436,000"
Net Non Operating Interest Income Expense,"-603,000","-603,000","-620,000","-601,000","-522,000"
Other Income Expense,"333,000","333,000","1,984,000",-,-
Pretax Income,"2,085,000","1,981,000","3,978,000","1,484,000","2,914,000"
Tax Provision,"469,000","469,000","900,000","-405,000","957,000"
Net Income Common Stockholders,"1,640,000","1,640,000","3,076,000","1,890,000","1,959,000"
Diluted NI Available to Com Stockholders,"1,640,000","1,640,000","3,076,000","1,890,000","1,959,000"
Basic EPS,-,-,0.0038,0.0021,0.0021
Diluted EPS,-,-,0.0038,0.0021,0.002
Basic Average Shares,-,-,"810,000","895,000","942,000"
Diluted Average Shares,-,-,"818,000","904,000","958,000"
Total Operating Income as Reported,"2,251,000","2,251,000","2,614,000","2,085,000","3,436,000"
Rent Expense Supplemental,"884,000","884,000","884,000","911,000","881,000"
Total Expenses,"120,035,000","120,035,000","118,548,000","120,577,000","111,901,000"
Net Income from Continuing & Discontinued Operation,"1,659,000","1,659,000","3,110,000","1,907,000","1,975,000"
Normalized Income,"1,404,837","1,404,837","1,576,370","1,907,000","1,975,000"
Interest Expense,"603,000","603,000","620,000","601,000","522,000"
Net Interest Income,"-603,000","-603,000","-620,000","-601,000","-522,000"
EBIT,"2,584,000","2,584,000","4,598,000","2,085,000","3,436,000"
EBITDA,"5,873,000",-,-,-,-
Reconciled Cost of Revenue,"94,654,000","94,654,000","94,894,000","95,662,000","89,502,000"
Reconciled Depreciation,"3,289,000","3,289,000","2,465,000","2,436,000","2,340,000"
Net Income from Continuing Operation Net Minority Interest,"1,659,000","1,659,000","3,110,000","1,907,000","1,975,000"
Total Unusual Items Excluding Goodwill,"333,000","333,000","2,010,000",-,-
Total Unusual Items,"333,000","333,000","2,010,000",-,-
Normalized EBITDA,"5,540,000","5,540,000","5,053,000","4,521,000","5,776,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"78,837","78,837","476,370",0,0
