Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"2,922,900","2,866,000","2,751,700","2,627,000","2,397,000"
Cost of Revenue,"1,217,500","1,220,200","1,190,600","1,130,800","1,021,200"
Gross Profit,"1,705,400","1,645,800","1,561,100","1,496,200","1,375,800"
Operating Expense,"583,300","590,700","592,700","574,600","557,300"
Operating Income,"1,122,100","1,055,100","968,400","921,600","818,500"
Net Non Operating Interest Income Expense,"-121,900","-115,900","-110,000","-100,200","-97,700"
Other Income Expense,"-152,200","-150,800","28,500","52,900","-58,100"
Pretax Income,"848,000","788,400","886,900","874,300","662,700"
Tax Provision,"258,100","247,600","257,500","-89,600","182,800"
Net Income Common Stockholders,"587,700","538,700","627,200","961,800","477,900"
Diluted NI Available to Com Stockholders,"587,700","538,700","627,200","961,800","477,900"
Basic EPS,-,0.0054,0.0062,0.0092,0.0044
Diluted EPS,-,0.0054,0.0061,0.0092,0.0044
Basic Average Shares,-,"99,316","101,852","104,728","107,560"
Diluted Average Shares,-,"99,747","102,270","105,040","107,761"
Total Operating Income as Reported,"1,014,800","886,300","986,300","921,600","818,500"
Rent Expense Supplemental,"100,100","108,600","126,100","129,200","120,000"
Total Expenses,"1,800,800","1,810,900","1,783,300","1,705,400","1,578,500"
Net Income from Continuing & Discontinued Operation,"587,900","538,900","627,400","962,000","478,100"
Normalized Income,"695,585","643,721","610,715","936,980","530,228"
Interest Expense,"121,900","115,900","110,000","100,200","97,700"
Net Interest Income,"-121,900","-115,900","-110,000","-100,200","-97,700"
EBIT,"969,900","904,300","996,900","974,500","760,400"
EBITDA,"1,321,500",-,-,-,-
Reconciled Cost of Revenue,"1,217,500","1,220,200","1,190,600","1,130,800","1,021,200"
Reconciled Depreciation,"351,600","350,700","346,700","320,900","305,000"
Net Income from Continuing Operation Net Minority Interest,"587,900","538,900","627,400","962,000","478,100"
Total Unusual Items Excluding Goodwill,"-154,800","-152,800","23,500","41,700","-72,000"
Total Unusual Items,"-154,800","-152,800","23,500","41,700","-72,000"
Normalized EBITDA,"1,476,300","1,407,800","1,320,100","1,253,700","1,137,400"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-47,115","-47,979","6,815","16,680","-19,872"
