Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"13,468,000","13,578,000","13,547,000","12,923,000","13,014,000"
Cost of Revenue,"9,050,000","9,197,000","8,821,000","7,901,000","8,259,000"
Gross Profit,"4,418,000","4,381,000","4,726,000","5,022,000","4,755,000"
Operating Expense,"2,939,000","2,980,000","3,020,000","3,076,000","3,360,000"
Operating Income,"1,479,000","1,401,000","1,706,000","1,946,000","1,395,000"
Net Non Operating Interest Income Expense,"-274,000","-284,000","-287,000","-256,000","-406,000"
Other Income Expense,"187,000","188,000","-90,000","-16,000","-62,000"
Pretax Income,"1,392,000","1,305,000","1,329,000","1,674,000","927,000"
Tax Provision,"343,000","321,000","181,000","412,000","233,000"
Earnings from Equity Interest Net of Tax,"-7,000","-7,000","196,000","7,000","1,000"
Net Income Common Stockholders,"1,025,000","960,000","1,336,000","1,269,000","694,000"
Diluted NI Available to Com Stockholders,"1,025,000","960,000","1,336,000","1,269,000","694,000"
Basic EPS,-,-,0.0039,0,0.002
Diluted EPS,-,-,0.0038,0,0.002
Basic Average Shares,-,-,"347,000","345,603","350,000"
Diluted Average Shares,-,-,"348,000","345,603","354,000"
Total Operating Income as Reported,"1,479,000","1,401,000","1,706,000","1,946,000","1,395,000"
Total Expenses,"11,989,000","12,177,000","11,841,000","10,977,000","11,619,000"
Net Income from Continuing & Discontinued Operation,"1,025,000","960,000","1,336,000","1,269,000","694,000"
Normalized Income,"1,025,000","960,000","1,336,000","1,269,000","694,000"
Interest Expense,"274,000","284,000","287,000","256,000","406,000"
Net Interest Income,"-274,000","-284,000","-287,000","-256,000","-406,000"
EBIT,"1,666,000","1,589,000","1,616,000","1,930,000","1,333,000"
EBITDA,"2,143,000",-,-,-,-
Reconciled Cost of Revenue,"9,050,000","9,197,000","8,821,000","7,901,000","8,259,000"
Reconciled Depreciation,"477,000","484,000","516,000","481,000","517,000"
Net Income from Continuing Operation Net Minority Interest,"1,025,000","960,000","1,336,000","1,269,000","694,000"
Normalized EBITDA,"2,143,000","2,073,000","2,132,000","2,411,000","1,850,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
