Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"28,023,000","28,228,000","14,900,000","11,437,000","10,534,000"
Cost of Revenue,"16,371,000","16,644,000","9,084,000","6,455,000","5,860,000"
Gross Profit,"11,652,000","11,584,000","5,816,000","4,982,000","4,674,000"
Operating Expense,"8,824,000","8,883,000","3,572,000","2,484,000","2,459,000"
Operating Income,"2,828,000","2,701,000","2,244,000","2,498,000","2,215,000"
Net Non Operating Interest Income Expense,"-39,000","-38,000","-202,000","-161,000","-190,000"
Other Income Expense,"321,000","264,000","3,007,000","-50,000","23,000"
Pretax Income,"3,110,000","2,927,000","5,049,000","2,287,000","2,048,000"
Tax Provision,"794,000","769,000","817,000","1,026,000","551,000"
Earnings from Equity Interest Net of Tax,"97,000","114,000","56,000","47,000","41,000"
Net Income Common Stockholders,"2,341,000","2,285,000","4,381,000","1,247,000","1,500,000"
Diluted NI Available to Com Stockholders,"2,341,000","2,285,000","4,381,000","1,247,000","1,500,000"
Basic EPS,-,-,0.0133,0.0044,0.0053
Diluted EPS,-,-,0.0131,0.0043,0.0052
Basic Average Shares,-,-,"330,401","286,261","285,677"
Diluted Average Shares,-,-,"334,127","289,114","287,757"
Total Operating Income as Reported,"3,057,000","2,933,000","5,247,000","2,448,000","2,238,000"
Total Expenses,"25,195,000","25,527,000","12,656,000","8,939,000","8,319,000"
Net Income from Continuing & Discontinued Operation,"2,341,000","2,285,000","4,381,000","1,247,000","1,500,000"
Normalized Income,"2,319,000","2,061,028","1,760,056","1,294,790","1,492,690"
Interest Income,-,"112,000",-,-,-
Interest Expense,"247,000","246,000","202,000","161,000","190,000"
Net Interest Income,"-39,000","-38,000","-202,000","-161,000","-190,000"
EBIT,"3,357,000","3,173,000","5,251,000","2,448,000","2,238,000"
EBITDA,"7,951,000",-,-,-,-
Reconciled Cost of Revenue,"16,371,000","16,644,000","9,084,000","6,455,000","5,860,000"
Reconciled Depreciation,"4,594,000","4,675,000","1,830,000","1,184,000","1,122,000"
Net Income from Continuing Operation Net Minority Interest,"2,319,000","2,176,000","4,264,000","1,247,000","1,500,000"
Total Unusual Items Excluding Goodwill,-,"156,000","2,988,000","-59,000","10,000"
Total Unusual Items,-,"156,000","2,988,000","-59,000","10,000"
Normalized EBITDA,"7,951,000","7,692,000","4,093,000","3,691,000","3,350,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,"41,028","484,056","-11,210","2,690"
