Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"12,406,741","12,506,109","11,876,674","9,736,909","8,584,031"
Cost of Revenue,"7,549,335","7,654,315","7,301,817","5,937,286","5,232,328"
Gross Profit,"4,857,406","4,851,794","4,574,857","3,799,623","3,351,703"
Operating Expense,"3,868,842","3,871,070","3,626,944","2,932,633","2,550,543"
Operating Income,"988,564","980,724","947,913","866,990","801,160"
Net Non Operating Interest Income Expense,"-95,591","-105,749","-139,878","-84,105","-86,016"
Other Income Expense,"-85,324","-83,953","-64,604","-16,258","-37,863"
Pretax Income,"807,649","791,022","743,431","766,627","677,281"
Tax Provision,"224,191","215,330","191,395","235,560","220,566"
Earnings from Equity Interest Net of Tax,"7,788","-32,277","-64,471","5,907",-592
Net Income Common Stockholders,"588,348","541,260","480,118","533,744","463,975"
Diluted NI Available to Com Stockholders,"588,348","541,260","480,118","533,744","463,975"
Basic EPS,-,-,0.0015,0.0017,0.0015
Diluted EPS,-,0.0018,0.0015,0.0017,0.0015
Basic Average Shares,-,-,"314,428","308,607","306,897"
Diluted Average Shares,-,-,"315,849","310,649","309,784"
Total Operating Income as Reported,"916,092","896,643","882,241","847,318","763,398"
Total Expenses,"11,418,177","11,525,385","10,928,761","8,869,919","7,782,871"
Net Income from Continuing & Discontinued Operation,"588,348","541,260","480,118","533,744","463,975"
Normalized Income,"649,118","600,759","532,516","551,757","481,643"
Interest Income,-,"32,755","6,499","17,535","2,247"
Interest Expense,"128,346","138,504","146,377","101,640","88,263"
Net Interest Income,"-95,591","-105,749","-139,878","-84,105","-86,016"
EBIT,"935,995","929,526","889,808","868,267","765,544"
EBITDA,"1,245,573",-,-,-,-
Reconciled Cost of Revenue,"7,525,020","7,630,679","7,281,953","5,926,629","5,217,675"
Reconciled Depreciation,"309,578","314,406","294,077","230,203","206,086"
Net Income from Continuing Operation Net Minority Interest,"587,644","539,641","484,515","540,490","456,123"
Total Unusual Items Excluding Goodwill,"-85,095","-83,953","-64,604","-16,258","-37,863"
Total Unusual Items,"-85,095","-83,953","-64,604","-16,258","-37,863"
Normalized EBITDA,"1,330,668","1,327,885","1,248,489","1,114,728","1,009,493"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-23,621","-22,835","-16,603","-4,991","-12,343"
