Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"23,087,100","22,319,500","24,555,700","22,871,300","21,222,100"
Cost of Revenue,"4,797,600","4,721,200","6,430,000","6,070,200","5,654,900"
Gross Profit,"18,289,500","17,598,300","18,125,700","16,801,100","15,567,200"
Operating Expense,"12,157,900","12,048,400","13,922,800","13,496,200","11,725,900"
Operating Income,"6,131,600","5,549,900","4,202,900","3,304,900","3,841,300"
Net Non Operating Interest Income Expense,"-342,500","-320,200","-110,800","-57,700","-76,500"
Other Income Expense,"425,600","36,200","-296,400","-1,049,800","-390,800"
Pretax Income,"6,214,700","5,265,900","3,795,700","2,197,400","3,374,000"
Tax Provision,"681,400","628,000","563,700","2,401,500","636,400"
Net Income Common Stockholders,"5,533,300","8,318,400","3,232,000","-204,100","2,737,600"
Diluted NI Available to Com Stockholders,"5,533,300","8,318,400","3,232,000","-204,100","2,737,600"
Basic EPS,-,0.0087,0.0031,0,0.0025
Diluted EPS,-,0.0087,0.0031,0,0.0025
Basic Average Shares,-,"957,526","1,027,721","1,052,023","1,100,875"
Diluted Average Shares,-,"957,526","1,033,667","1,052,023","1,100,875"
Total Operating Income as Reported,-,"4,974,300",-,"2,145,000","3,458,800"
Total Expenses,"16,955,500","16,769,600","20,352,800","19,566,400","17,380,800"
Net Income from Continuing & Discontinued Operation,"5,533,300","8,318,400","3,232,000","-204,100","2,737,600"
Normalized Income,"5,670,682","5,094,522","3,642,182","491,840","3,213,170"
Interest Income,"64,100","80,400","161,300","167,300","108,700"
Interest Expense,"406,600","400,600","272,100","225,000","185,200"
Net Interest Income,"-342,500","-320,200","-110,800","-57,700","-76,500"
EBIT,"6,621,300","5,666,500","4,067,800","2,422,400","3,559,200"
EBITDA,"7,771,000",-,-,-,-
Reconciled Cost of Revenue,"4,797,600","4,721,200","6,430,000","6,070,200","5,654,900"
Reconciled Depreciation,"1,149,700","1,232,600","1,609,000","1,567,300","1,496,600"
Net Income from Continuing Operation Net Minority Interest,"5,533,300","4,637,900","3,232,000","-204,100","2,737,600"
Total Unusual Items Excluding Goodwill,"-154,300","-518,300","-482,000","-1,159,900","-586,400"
Total Unusual Items,"-154,300","-518,300","-482,000","-1,159,900","-586,400"
Normalized EBITDA,"7,925,300","7,417,400","6,158,800","5,149,600","5,642,200"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-16,918","-61,678","-71,818","-463,960","-110,830"
