Breakdown,ttm,1/31/2020,1/31/2019,1/31/2018,1/31/2017
Total Revenue,"71,768,000","72,148,000","71,309,000","68,619,000","65,017,000"
Cost of Revenue,"48,907,000","49,205,000","48,401,000","45,210,000","42,553,000"
Gross Profit,"22,861,000","22,943,000","22,908,000","23,409,000","22,464,000"
Operating Expense,"18,073,000","16,629,000","18,890,000","16,823,000","16,618,000"
Operating Income,"4,788,000","6,314,000","4,018,000","6,586,000","5,846,000"
Net Non Operating Interest Income Expense,"-665,000","-691,000","-624,000","-633,000","-645,000"
Other Income Expense,-,-,-,"-464,000",-
Pretax Income,"4,123,000","5,623,000","3,394,000","5,489,000","5,201,000"
Tax Provision,"1,176,000","1,342,000","1,080,000","2,042,000","2,108,000"
Net Income Common Stockholders,"2,939,000","4,268,000","2,307,000","3,436,000","3,062,000"
Diluted NI Available to Com Stockholders,"2,939,000","4,268,000","2,307,000","3,436,000","3,062,000"
Basic EPS,-,0.0055,0.0028,0.0041,0.0035
Diluted EPS,-,0.0055,0.0028,0.0041,0.0035
Basic Average Shares,-,"777,000","811,000","839,000","880,000"
Diluted Average Shares,-,"778,000","812,000","840,000","881,000"
Total Operating Income as Reported,"4,788,000","6,314,000","4,018,000","6,586,000","5,846,000"
Total Expenses,"66,980,000","65,834,000","67,291,000","62,033,000","59,171,000"
Net Income from Continuing & Discontinued Operation,"2,947,000","4,281,000","2,314,000","3,447,000","3,091,000"
Normalized Income,"2,947,000","4,281,000","2,314,000","3,738,392","3,091,000"
Interest Income,"31,000","27,000","28,000","16,000","12,000"
Interest Expense,"677,000","697,000","640,000","630,000","634,000"
Net Interest Income,"-665,000","-691,000","-624,000","-633,000","-645,000"
EBIT,"6,895,000","6,320,000","4,034,000","6,119,000","5,835,000"
EBITDA,"8,341,000",-,-,-,-
Reconciled Cost of Revenue,"48,770,000","49,057,000","48,271,000","45,117,000","42,452,000"
Reconciled Depreciation,"1,430,000","1,410,000","1,607,000","1,540,000","1,590,000"
Net Income from Continuing Operation Net Minority Interest,"2,947,000","4,281,000","2,314,000","3,447,000","3,091,000"
Total Unusual Items Excluding Goodwill,-,0,0,"-464,000",-
Total Unusual Items,-,0,0,"-464,000",-
Normalized EBITDA,"6,230,000","7,730,000","5,641,000","8,123,000","7,425,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"-172,608",0
