Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"9,614,019","9,653,559","11,076,998","8,013,620","5,885,893"
Cost of Revenue,"5,204,767","5,295,100","5,911,966","4,410,261","3,266,971"
Gross Profit,"4,409,252","4,358,459","5,165,032","3,603,359","2,618,922"
Operating Expense,"1,874,087","1,893,727","1,951,733","1,701,227","1,544,666"
Operating Income,"2,535,165","2,464,732","3,213,299","1,902,132","1,074,256"
Net Non Operating Interest Income Expense,"-62,462","-18,492","-11,574","-59,876","-105,261"
Other Income Expense,"-36,476",331,"-49,936","-30,583","-8,878"
Pretax Income,"2,436,227","2,446,571","3,151,789","1,811,673","960,117"
Tax Provision,"339,322","255,141","771,108","113,910","46,068"
Net Income Common Stockholders,"2,096,905","2,191,430","2,380,681","1,697,763","914,049"
Diluted NI Available to Com Stockholders,"2,096,905","2,191,430","2,380,681","1,697,763","914,049"
Basic EPS,-,0.0144,0.0147,0.0105,0.0058
Diluted EPS,-,0.0137,0.0132,0.0092,0.0052
Basic Average Shares,-,"152,478","161,643","162,222","158,919"
Diluted Average Shares,-,"159,915","180,782","183,770","175,159"
Total Operating Income as Reported,"2,535,165","2,464,732","3,213,299","1,902,132","1,074,256"
Total Expenses,"7,078,854","7,188,827","7,863,699","6,111,488","4,811,637"
Net Income from Continuing & Discontinued Operation,"2,096,905","2,191,430","2,380,681","1,697,763","914,049"
Normalized Income,"2,101,090","2,190,584","2,414,879","1,732,264","913,756"
Interest Income,"111,156","98,771","85,813","57,858","29,512"
Interest Expense,"173,618","117,263","97,387","117,734","134,773"
Net Interest Income,"-62,462","-18,492","-11,574","-59,876","-105,261"
EBIT,"2,609,845","2,563,834","3,249,176","1,929,407","1,094,890"
EBITDA,"2,872,695",-,-,-,-
Reconciled Cost of Revenue,"5,204,767","5,295,100","5,911,966","4,410,261","3,266,971"
Reconciled Depreciation,"262,850","309,281","326,395","306,905","291,028"
Net Income from Continuing Operation Net Minority Interest,"2,096,905","2,191,430","2,380,681","1,697,763","914,049"
Total Unusual Items Excluding Goodwill,"-4,862",944,"-45,296","-36,821",308
Total Unusual Items,"-4,862",944,"-45,296","-36,821",308
Normalized EBITDA,"2,877,557","2,872,171","3,620,867","2,273,133","1,385,610"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,-677.1879,98.176,"-11,098","-2,320",14.784
