Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"21,513,000","22,428,000","21,965,000","21,171,000","20,425,000"
Cost of Revenue,"16,177,000","16,445,000","15,907,000","14,968,000","14,151,000"
Gross Profit,"5,336,000","5,983,000","6,058,000","6,203,000","6,274,000"
Operating Expense,"2,994,000","3,026,000","2,852,000","2,688,000","2,514,000"
Operating Income,"2,342,000","2,957,000","3,206,000","3,515,000","3,760,000"
Net Non Operating Interest Income Expense,"1,000","8,000","-24,000","-30,000","-51,000"
Other Income Expense,"-34,000","-8,000","-18,000","-234,000","-162,000"
Pretax Income,"2,309,000","2,957,000","3,164,000","3,251,000","3,547,000"
Tax Provision,"490,000","657,000","699,000","-237,000","1,303,000"
Net Income Common Stockholders,"1,819,000","2,300,000","2,465,000","3,488,000","2,244,000"
Average Dilution Earnings,-,-,-,-,"2,000"
Diluted NI Available to Com Stockholders,"1,819,000","2,300,000","2,465,000","3,488,000","2,246,000"
Basic EPS,-,0.0043,0.0043,0.0058,0.0036
Diluted EPS,-,0.0043,0.0043,0.0058,0.0035
Basic Average Shares,-,"538,000","573,000","601,000","627,000"
Diluted Average Shares,-,"539,000","574,000","603,000","633,000"
Total Operating Income as Reported,"2,342,000","2,957,000","3,206,000","3,515,000","3,760,000"
Rent Expense Supplemental,"1,369,000","1,363,000","1,334,000","1,490,000","1,440,000"
Total Expenses,"19,171,000","19,471,000","18,759,000","17,656,000","16,665,000"
Interest Income,"84,000","90,000","69,000","35,000","24,000"
Interest Expense,"83,000","82,000","93,000","65,000","75,000"
Net Interest Income,"1,000","8,000","-24,000","-30,000","-51,000"
Net Income from Continuing & Discontinued Operation,"1,819,000","2,300,000","2,465,000","3,488,000","2,244,000"
Normalized Income,"1,819,000","2,300,000","2,465,000","3,632,600","2,342,592"
EBIT,"2,392,000","3,039,000","3,257,000","3,316,000","3,622,000"
EBITDA,"3,625,000",-,-,-,-
Reconciled Cost of Revenue,"16,177,000","16,445,000","15,907,000","14,968,000","14,151,000"
Reconciled Depreciation,"1,233,000","1,219,000","1,201,000","1,218,000","1,221,000"
Net Income from Continuing Operation Net Minority Interest,"1,819,000","2,300,000","2,465,000","3,488,000","2,244,000"
Total Unusual Items Excluding Goodwill,-,-,-,"-241,000","-156,000"
Total Unusual Items,-,-,-,"-241,000","-156,000"
Normalized EBITDA,"3,625,000","4,258,000","4,458,000","4,775,000","4,999,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,"-96,400","-57,408"
