Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,875,000","13,739,000","13,729,000","12,882,000","11,410,000"
Cost of Revenue,"6,019,000","6,832,000","6,974,000","6,485,000","5,837,000"
Gross Profit,"5,856,000","6,907,000","6,755,000","6,397,000","5,573,000"
Operating Expense,"2,986,000","3,119,000","2,854,000","2,915,000","3,001,000"
Operating Income,"2,870,000","3,788,000","3,901,000","3,482,000","2,572,000"
Net Non Operating Interest Income Expense,"-478,000","-481,000","-387,000","-311,000","-264,000"
Other Income Expense,"525,000","465,000","-188,000","-119,000","-53,000"
Pretax Income,"2,917,000","3,772,000","3,326,000","3,052,000","2,255,000"
Tax Provision,"408,000","468,000","375,000","-209,000","239,000"
Net Income Common Stockholders,"2,115,000","2,698,000","2,413,000","2,806,000","1,670,000"
Diluted NI Available to Com Stockholders,"2,115,000","2,698,000","2,413,000","2,806,000","1,670,000"
Basic EPS,-,0.0035,0.0031,0.0035,0.0021
Diluted EPS,-,0.0035,0.0031,0.0035,0.0021
Basic Average Shares,-,"771,000","786,000","792,000","794,627"
Diluted Average Shares,-,"771,000","786,000","792,000","795,211"
Total Operating Income as Reported,"2,782,000","3,698,000","3,751,000","3,462,000","2,493,000"
Total Expenses,"9,005,000","9,951,000","9,828,000","9,400,000","8,838,000"
Net Income from Continuing & Discontinued Operation,"2,115,000","2,698,000","2,413,000","2,806,000","1,670,000"
Normalized Income,"1,733,102","2,310,808","2,602,818","2,821,000","1,745,096"
Interest Income,"67,000","74,000","59,000","16,000","10,000"
Interest Expense,"545,000","555,000","446,000","327,000","274,000"
Net Interest Income,"-478,000","-481,000","-387,000","-311,000","-264,000"
EBIT,"3,462,000","4,327,000","3,772,000","3,379,000","2,529,000"
EBITDA,"4,672,000",-,-,-,-
Reconciled Cost of Revenue,"6,019,000","6,832,000","6,974,000","6,485,000","5,837,000"
Reconciled Depreciation,"1,210,000","1,216,000","1,146,000","1,208,000","1,149,000"
Net Income from Continuing Operation Net Minority Interest,"2,115,000","2,698,000","2,413,000","2,806,000","1,670,000"
Total Unusual Items Excluding Goodwill,"444,000","442,000","-214,000","-25,000","-84,000"
Total Unusual Items,"444,000","442,000","-214,000","-25,000","-84,000"
Normalized EBITDA,"4,228,000","5,101,000","5,132,000","4,612,000","3,762,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"62,102","54,808","-24,182","-10,000","-8,904"
