Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"33,443,000","34,727,000","39,004,000","34,484,000","29,183,000"
Cost of Revenue,"28,723,000","29,301,000","32,529,000","28,059,000","23,191,000"
Gross Profit,"4,720,000","5,426,000","6,475,000","6,425,000","5,992,000"
Operating Expense,"1,317,000","1,310,000","1,244,000","965,000","932,000"
Operating Income,"3,403,000","4,116,000","5,231,000","5,460,000","5,060,000"
Net Non Operating Interest Income Expense,"-328,000","-328,000","-315,000","-467,000","-305,000"
Other Income Expense,-,"264,000","395,000","500,000","478,000"
Pretax Income,"3,250,000","4,052,000","5,311,000","5,493,000","5,233,000"
Tax Provision,"520,000","648,000","613,000","598,000","1,386,000"
Net Income Common Stockholders,"2,712,000","3,384,000","4,682,000","4,874,000","3,832,000"
Average Dilution Earnings,-,-,"-5,000",-,-
Diluted NI Available to Com Stockholders,"2,712,000","3,384,000","4,677,000","4,874,000","3,832,000"
Basic EPS,-,-,0.012,0.0124,0.0095
Diluted EPS,-,-,0.012,0.0122,0.0091
Basic Average Shares,-,-,"389,000","394,512","404,046"
Diluted Average Shares,-,-,"389,000","399,000","420,000"
Total Operating Income as Reported,"3,403,000","4,116,000","5,231,000","5,460,000","5,060,000"
Total Expenses,"30,040,000","30,611,000","33,773,000","29,024,000","24,123,000"
Net Income from Continuing & Discontinued Operation,"2,724,000","3,397,000","4,690,000","4,879,000","3,836,000"
Normalized Income,"2,730,000","3,404,000","4,698,000","4,897,000","3,846,000"
Interest Income,"16,000","19,000","45,000","24,000","17,000"
Interest Expense,"344,000","347,000","360,000","491,000","322,000"
Net Interest Income,"-328,000","-328,000","-315,000","-467,000","-305,000"
EBIT,"3,594,000","4,399,000","5,671,000","5,984,000","5,555,000"
EBITDA,"4,926,000",-,-,-,-
Reconciled Cost of Revenue,"28,723,000","29,301,000","32,529,000","28,059,000","23,191,000"
Reconciled Depreciation,"1,332,000","1,312,000","1,241,000","1,174,000","1,064,000"
Net Income from Continuing Operation Net Minority Interest,"2,730,000","3,404,000","4,698,000","4,897,000","3,846,000"
Normalized EBITDA,"4,926,000","5,711,000","6,912,000","7,158,000","6,619,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
