Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"14,273,000","14,931,000","14,066,000","13,735,000","13,105,000"
Total Expenses,"14,783,000","13,812,000","13,232,000","12,153,000","12,169,000"
Pretax Income,"-510,000","1,119,000","834,000","1,582,000","936,000"
Tax Provision,"59,000","248,000","128,000","170,000","220,000"
Net Income Common Stockholders,"-94,000","932,000","636,000","1,164,000","654,000"
Diluted NI Available to Com Stockholders,"-94,000","932,000","636,000","1,164,000","654,000"
Basic EPS,-,-,0.002,0.0035,0.0019
Diluted EPS,-,-,0.002,0.0035,0.0019
Basic Average Shares,-,-,"319,060","336,610","337,950"
Diluted Average Shares,-,-,"319,930","337,500","338,310"
Net Income from Continuing & Discontinued Operation,"-94,000","932,000","636,000","1,164,000","654,000"
Normalized Income,"-94,000","932,000","636,000","1,164,000","654,000"
EBIT,"84,000","1,710,000","1,408,000","2,228,000","1,472,000"
Reconciled Depreciation,-,"943,000","912,000","874,000","841,000"
Net Income from Continuing Operation Net Minority Interest,"-94,000","932,000","636,000","1,164,000","654,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
Interest Expense,"594,000","591,000","574,000","646,000","536,000"
