Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"20,641,000","20,972,000","20,758,000","22,894,000","17,072,000"
Cost of Revenue,"17,687,000","17,755,000","17,084,000","19,192,000","14,446,000"
Gross Profit,"2,954,000","3,217,000","3,674,000","3,702,000","2,626,000"
Operating Expense,"1,423,000","1,279,000","1,153,000","1,184,000","872,000"
Operating Income,"1,531,000","1,938,000","2,521,000","2,518,000","1,754,000"
Net Non Operating Interest Income Expense,"-364,000","-368,000","-318,000","-250,000","-199,000"
Other Income Expense,"19,000","29,000","142,000","568,000","-371,000"
Pretax Income,"1,186,000","1,599,000","2,345,000","2,836,000","1,184,000"
Tax Provision,"257,000","326,000","438,000","1,464,000","404,000"
Net Income Common Stockholders,"929,000","1,273,000","1,907,000","1,372,000","780,000"
Diluted NI Available to Com Stockholders,"929,000","1,273,000","1,907,000","1,372,000","780,000"
Basic EPS,-,-,-,0.0039,0.0027
Diluted EPS,-,-,-,0.0038,0.0026
Basic Average Shares,-,-,-,"375,200","290,900"
Diluted Average Shares,-,-,-,"379,900","295,700"
Total Operating Income as Reported,"1,404,000","1,800,000","2,366,000","2,359,000","1,368,000"
Total Expenses,"19,110,000","19,034,000","18,237,000","20,376,000","15,318,000"
Net Income from Continuing & Discontinued Operation,"929,000","1,273,000","1,907,000","1,372,000","780,000"
Normalized Income,"914,901","1,260,264","1,875,293","1,054,600","1,031,079"
Interest Income,"26,000","26,000","22,000","38,000","35,000"
Interest Expense,"390,000","394,000","340,000","288,000","234,000"
Net Interest Income,"-364,000","-368,000","-318,000","-250,000","-199,000"
EBIT,"1,576,000","1,993,000","2,685,000","3,124,000","1,418,000"
EBITDA,"2,086,000",-,-,-,-
Reconciled Cost of Revenue,"17,614,000","17,693,000","17,026,000","19,192,000","14,446,000"
Reconciled Depreciation,"510,000","403,000","284,000","290,000","168,000"
Net Income from Continuing Operation Net Minority Interest,"929,000","1,273,000","1,907,000","1,372,000","780,000"
Total Unusual Items Excluding Goodwill,"18,000","16,000","39,000","529,000","-381,000"
Total Unusual Items,"18,000","16,000","39,000","529,000","-381,000"
Normalized EBITDA,"2,068,000","2,380,000","2,930,000","2,885,000","1,967,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"3,901","3,264","7,293","211,600","-129,921"
