Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"17,003,000","16,883,000","14,950,000","12,497,000","10,776,000"
Operating Expense,"7,356,000","7,187,000","6,576,000","5,754,000","4,864,000"
Operating Income,"9,647,000","9,696,000","8,374,000","6,743,000","5,912,000"
Net Non Operating Interest Income Expense,"-247,000","-224,000","-186,000","-154,000","-95,000"
Other Income Expense,"115,000","259,000","-984,000","-67,000","-171,000"
Pretax Income,"9,515,000","9,731,000","7,204,000","6,522,000","5,646,000"
Tax Provision,"1,566,000","1,613,000","1,345,000","2,607,000","1,587,000"
Net Income Common Stockholders,"7,949,000","8,118,000","5,859,000","3,915,000","4,059,000"
Diluted NI Available to Com Stockholders,"7,949,000","8,118,000","5,859,000","3,915,000","4,059,000"
Basic EPS,-,0.008,0.0056,0.0037,0.0037
Diluted EPS,-,0.0079,0.0056,0.0037,0.0037
Basic Average Shares,-,"1,017,000","1,041,000","1,067,000","1,098,000"
Diluted Average Shares,-,"1,022,000","1,047,000","1,072,000","1,101,000"
Total Operating Income as Reported,"9,662,000","9,664,000","7,282,000","6,622,000","5,761,000"
Total Expenses,"7,356,000","7,187,000","6,576,000","5,754,000","4,864,000"
Net Income from Continuing & Discontinued Operation,"7,949,000","8,118,000","5,859,000","3,915,000","4,059,000"
Normalized Income,"7,874,648","7,924,512","6,647,610","3,954,000","4,136,652"
Interest Expense,"247,000","224,000","186,000","154,000","95,000"
Net Interest Income,"-247,000","-224,000","-186,000","-154,000","-95,000"
EBIT,"9,762,000","9,955,000","7,390,000","6,676,000","5,741,000"
EBITDA,"10,311,000",-,-,-,-
Reconciled Depreciation,"549,000","522,000","459,000","437,000","373,000"
Net Income from Continuing Operation Net Minority Interest,"7,949,000","8,118,000","5,859,000","3,915,000","4,059,000"
Total Unusual Items Excluding Goodwill,"89,000","232,000","-970,000","-65,000","-108,000"
Total Unusual Items,"89,000","232,000","-970,000","-65,000","-108,000"
Normalized EBITDA,"10,222,000","10,245,000","8,819,000","7,178,000","6,222,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"14,648","38,512","-181,390","-26,000","-30,348"
