Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"231,051,000","231,051,000","214,319,000","208,357,000","198,533,000"
Cost of Revenue,"219,028,000","219,028,000","202,565,000","197,173,000","187,262,000"
Gross Profit,"12,023,000","12,023,000","11,754,000","11,184,000","11,271,000"
Operating Expense,"9,264,000","9,264,000","8,474,000","8,263,000","7,807,000"
Operating Income,"2,759,000","2,759,000","3,280,000","2,921,000","3,464,000"
Net Non Operating Interest Income Expense,"-200,000","-200,000","-225,000","-235,000","-279,000"
Other Income Expense,"-1,415,000","-1,415,000","-2,445,000","-2,447,000","3,706,000"
Pretax Income,"1,144,000","1,144,000","610,000","239,000","6,891,000"
Tax Provision,"18,000","18,000","356,000","-53,000","1,614,000"
Net Income Common Stockholders,"900,000","900,000","34,000","67,000","5,070,000"
Diluted NI Available to Com Stockholders,"900,000","900,000","34,000","67,000","5,070,000"
Basic EPS,-,0.005,0,0,0.0229
Diluted EPS,-,0.005,0,0,0.0227
Basic Average Shares,-,"181,000","196,000","208,000","221,000"
Diluted Average Shares,-,"182,000","197,000","209,000","223,000"
Total Operating Income as Reported,"2,489,000","2,489,000","886,000","762,000","7,109,000"
Total Expenses,"228,292,000","228,292,000","211,039,000","205,436,000","195,069,000"
Net Income from Continuing & Discontinued Operation,"900,000","900,000","34,000","67,000","5,070,000"
Normalized Income,"1,296,648","1,296,648","1,739,740","1,803,164","2,401,930"
Interest Income,"49,000","49,000","39,000","48,000","29,000"
Interest Expense,"249,000","249,000","264,000","283,000","308,000"
Net Interest Income,"-200,000","-200,000","-225,000","-235,000","-279,000"
EBIT,"1,393,000","1,393,000","874,000","522,000","7,199,000"
EBITDA,"2,315,000",-,-,-,-
Reconciled Cost of Revenue,"219,028,000","219,028,000","202,565,000","197,173,000","187,262,000"
Reconciled Depreciation,"922,000","922,000","949,000","951,000","910,000"
Net Income from Continuing Operation Net Minority Interest,"906,000","906,000","33,000","62,000","5,194,000"
Total Unusual Items Excluding Goodwill,"-397,000","-397,000","-2,338,000","-2,238,000","3,645,000"
Total Unusual Items,"-397,000","-397,000","-2,338,000","-2,238,000","3,645,000"
Normalized EBITDA,"2,712,000","2,712,000","4,161,000","3,711,000","4,464,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-6,352","-6,352","-631,260","-496,836","852,930"
