Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"26,037,000","25,868,000","25,938,000","25,896,000","25,923,000"
Cost of Revenue,"15,842,000","15,531,000","15,586,000","15,831,000","15,795,000"
Gross Profit,"10,195,000","10,337,000","10,352,000","10,065,000","10,128,000"
Operating Expense,"6,353,000","6,310,000","6,651,000","6,089,000","6,716,000"
Operating Income,"3,842,000","4,027,000","3,701,000","3,976,000","3,412,000"
Net Non Operating Interest Income Expense,"-471,000","-484,000","-462,000","-396,000","-515,000"
Other Income Expense,"-198,000","-96,000","-397,000","-456,000","-1,443,000"
Pretax Income,"3,173,000","3,447,000","2,842,000","3,124,000","1,454,000"
Tax Provision,"-39,000","2,000","773,000","688,000","129,000"
Earnings from Equity Interest Net of Tax,"513,000","440,000","1,326,000","500,000","344,000"
Net Income Common Stockholders,"3,709,000","3,870,000","3,381,000","2,922,000","1,659,000"
Diluted NI Available to Com Stockholders,"3,709,000","3,870,000","3,381,000","2,922,000","1,659,000"
Basic EPS,-,0.0027,0.0023,0.0019,0.0011
Diluted EPS,-,0.0027,0.0023,0.0019,0.0011
Basic Average Shares,-,"1,445,000","1,472,000","1,513,000","1,556,000"
Diluted Average Shares,-,"1,458,000","1,486,000","1,531,000","1,573,000"
Total Operating Income as Reported,"3,663,000","3,843,000","3,312,000","3,506,000","2,569,000"
Total Expenses,"22,195,000","21,841,000","22,237,000","21,920,000","22,511,000"
Net Income from Continuing & Discontinued Operation,"3,709,000","3,870,000","3,381,000","2,922,000","1,659,000"
Normalized Income,"3,816,400","4,164,705","3,758,832","3,297,180","2,904,337"
Interest Expense,"471,000","484,000","462,000","396,000","515,000"
Net Interest Income,"-471,000","-484,000","-462,000","-396,000","-515,000"
EBIT,"3,644,000","3,931,000","3,304,000","3,520,000","1,969,000"
EBITDA,"4,689,000",-,-,-,-
Reconciled Cost of Revenue,"14,970,000","14,658,000","14,951,000","15,193,000","15,148,000"
Reconciled Depreciation,"1,045,000","1,047,000","811,000","816,000","823,000"
Net Income from Continuing Operation Net Minority Interest,"3,709,000","3,870,000","3,381,000","2,922,000","1,659,000"
Total Unusual Items Excluding Goodwill,"-179,000","-295,000","-519,000","-481,000","-1,367,000"
Total Unusual Items,"-179,000","-295,000","-519,000","-481,000","-1,367,000"
Normalized EBITDA,"4,868,000","5,273,000","4,634,000","4,817,000","4,159,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-71,600",-295,"-141,168","-105,820","-121,663"
