Breakdown,ttm,4/30/2019,4/30/2018,4/30/2017
Total Revenue,"31,062,000","30,557,000","29,953,000","29,710,000"
Cost of Revenue,"9,643,000","9,155,000","9,055,000","9,291,000"
Gross Profit,"21,419,000","21,402,000","20,898,000","20,419,000"
Operating Expense,"14,549,000","14,770,000","14,555,000","14,106,000"
Operating Income,"6,870,000","6,632,000","6,343,000","6,313,000"
Net Non Operating Interest Income Expense,"-1,648,000","-1,444,000","-749,000","-728,000"
Other Income Expense,"-80,000","9,000","81,000","-983,000"
Pretax Income,"5,142,000","5,197,000","5,675,000","4,602,000"
Tax Provision,"-207,000","547,000","2,580,000","578,000"
Net Income Common Stockholders,"5,315,000","4,631,000","3,104,000","4,028,000"
Diluted NI Available to Com Stockholders,"5,315,000","4,631,000","3,104,000","4,028,000"
Basic EPS,-,0.0034,0.0023,0.0029
Diluted EPS,-,0.0034,0.0023,0.0029
Basic Average Shares,-,"1,346,400","1,356,700","1,378,900"
Diluted Average Shares,-,"1,357,500","1,368,200","1,391,400"
Total Operating Income as Reported,"6,421,000","6,268,000","6,651,000","5,330,000"
Total Expenses,"24,192,000","23,925,000","23,610,000","23,397,000"
Net Income from Continuing & Discontinued Operation,"5,315,000","4,631,000","3,104,000","4,028,000"
Normalized Income,"5,584,400","4,956,780","3,034,907","4,887,142"
Interest Income,-,-,"397,000","366,000"
Interest Expense,"1,648,000","1,444,000","1,146,000","1,094,000"
Net Interest Income,"-1,648,000","-1,444,000","-749,000","-728,000"
EBIT,"6,790,000","6,641,000","6,821,000","5,696,000"
EBITDA,"9,448,000",-,-,-
Reconciled Cost of Revenue,"8,739,000","8,260,000","8,234,000","8,354,000"
Reconciled Depreciation,"2,658,000","2,659,000","2,644,000","2,917,000"
Net Income from Continuing Operation Net Minority Interest,"5,315,000","4,631,000","3,104,000","4,028,000"
Total Unusual Items Excluding Goodwill,"-449,000","-364,000","81,000","-983,000"
Total Unusual Items,"-449,000","-364,000","81,000","-983,000"
Normalized EBITDA,"9,897,000","9,664,000","9,384,000","9,596,000"
Tax Rate for Calcs,0,0,0,0
Tax Effect of Unusual Items,"-179,600","-38,220","11,907","-123,858"
