Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"71,628,000","69,620,000","67,941,000","62,308,000","63,476,000"
Total Expenses,"60,934,000","62,825,000","61,634,000","58,772,000","63,671,000"
Pretax Income,"10,694,000","6,795,000","6,307,000","3,536,000","-195,000"
Tax Provision,"1,769,000","886,000","1,179,000","-1,470,000","-999,000"
Net Income Common Stockholders,"8,738,000","5,721,000","4,982,000","3,907,000","697,000"
Diluted NI Available to Com Stockholders,"8,738,000","5,721,000","4,982,000","3,907,000","697,000"
Basic EPS,-,-,0.0052,0.0037,0
Diluted EPS,-,-,0.0052,0.0037,0
Basic Average Shares,-,-,"958,614","1,043,588","1,095,519"
Diluted Average Shares,-,-,"958,614","1,043,588","1,095,519"
Net Income from Continuing & Discontinued Operation,"8,916,000","5,899,000","5,123,000","4,010,000","800,000"
Normalized Income,"8,916,000","5,899,000","5,123,000","4,996,000","956,000"
Rent Expense Supplemental,-,-,-,-,"364,000"
EBIT,"11,637,000","7,750,000","7,429,000","4,665,000","1,006,000"
Reconciled Depreciation,-,"630,000","628,000","795,000","652,000"
Net Income from Continuing Operation Net Minority Interest,"8,916,000","5,899,000","5,123,000","4,996,000","800,000"
Total Unusual Items Excluding Goodwill,-,-,-,-,"-260,000"
Total Unusual Items,-,-,-,-,"-260,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,"-104,000"
Interest Expense,"943,000","955,000","1,122,000","1,129,000","1,201,000"
