Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,975,578","12,899,672","11,763,096","10,773,904","9,455,123"
Cost of Revenue,"7,179,278","7,603,489","6,918,875","6,166,006","5,495,664"
Gross Profit,"4,796,300","5,296,183","4,844,221","4,607,898","3,959,459"
Operating Expense,"1,261,964","1,199,687","3,513,278","3,028,745","2,680,993"
Operating Income,"3,534,336","4,096,496","1,330,943","1,579,153","1,278,466"
Net Non Operating Interest Income Expense,"-788,949","-847,932","-769,513","-668,745","-694,773"
Other Income Expense,"900,493","-401,839","72,576","53,347","675,484"
Pretax Income,"3,645,880","2,846,725","634,006","963,755","1,259,177"
Tax Provision,"823,138","632,345","50,112","-1,132,663","22,299"
Net Income Common Stockholders,"2,822,005","2,046,433","445,446","1,941,923","1,101,412"
Average Dilution Earnings,-,-194,-206,-268,-51
Diluted NI Available to Com Stockholders,"2,821,811","2,046,239","445,240","1,941,655","1,101,361"
Basic EPS,-,-,0,0.0034,0.0019
Diluted EPS,-,-,0,0.0033,0.0019
Basic Average Shares,-,-,"544,253","572,253","568,134"
Diluted Average Shares,-,-,"549,536","578,795","573,317"
Total Operating Income as Reported,"4,820,800","3,940,215","1,469,486","1,715,492","2,079,787"
Total Expenses,"8,441,242","8,803,176","10,432,153","9,194,751","8,176,657"
Net Income from Continuing & Discontinued Operation,"2,824,718","2,049,146","466,772","1,960,286","1,101,440"
Normalized Income,"1,918,915","2,263,720","475,196","1,966,076","832,662"
Interest Expense,"788,949","847,932","769,513","668,745","694,773"
Net Interest Income,"-788,949","-847,932","-769,513","-668,745","-694,773"
EBIT,"4,434,829","3,694,657","1,403,519","1,632,500","1,953,950"
EBITDA,"5,741,354",-,-,-,-
Reconciled Cost of Revenue,"7,179,278","7,603,489","6,918,875","6,166,006","5,495,664"
Reconciled Depreciation,"1,306,525","1,304,649","1,178,044","993,480","849,527"
Net Income from Continuing Operation Net Minority Interest,"2,824,718","2,049,146","466,772","1,960,286","1,101,440"
Total Unusual Items Excluding Goodwill,"1,169,944","-275,802","-9,147","-9,650","273,705"
Total Unusual Items,"1,169,944","-275,802","-9,147","-9,650","273,705"
Normalized EBITDA,"4,571,410","5,275,108","2,590,710","2,635,630","2,529,772"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"264,141","-61,228",-722.613,"-3,860","4,927"
