Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"555,839","511,352","435,565","397,471","369,919"
Cost of Revenue,"153,862","142,393","116,871","108,548","96,785"
Gross Profit,"401,977","368,959","318,694","288,923","273,134"
Operating Expense,"123,195","118,077","106,110","87,155","81,532"
Operating Income,"278,782","250,882","212,584","201,768","191,602"
Other Income Expense,"5,124","6,542","5,502",-,-
Pretax Income,"283,906","257,424","218,086","201,768","191,602"
Tax Provision,"56,710","52,522","45,234","53,679","65,430"
Net Income Common Stockholders,"227,196","204,902","172,852","148,089","126,172"
Diluted NI Available to Com Stockholders,"227,196","204,902","172,852","148,089","126,172"
Basic EPS,-,0.0055,0.0047,0.004,0.0034
Diluted EPS,-,0.0054,0.0046,0.0039,0.0033
Basic Average Shares,-,"37,083","36,958","36,864","36,844"
Diluted Average Shares,-,"37,956","37,855","38,038","37,738"
Total Operating Income as Reported,"278,782","250,882","212,584",-,-
Rent Expense Supplemental,"12,164","11,639","14,176","6,125","4,681"
Total Expenses,"277,057","260,470","222,981","195,703","178,317"
Net Income from Continuing & Discontinued Operation,"227,196","204,902","172,852","148,089","126,172"
Normalized Income,"221,320","198,484","168,005","148,089","126,172"
EBIT,"278,782","250,882","212,584","201,768","191,602"
EBITDA,"313,773",-,-,-,-
Reconciled Cost of Revenue,"147,713","136,598","116,871","108,548","96,785"
Reconciled Depreciation,"34,991","32,652","23,080","19,274","17,838"
Net Income from Continuing Operation Net Minority Interest,"227,196","204,902","172,852","148,089","126,172"
Total Unusual Items Excluding Goodwill,"7,343","8,063","6,112",-,-
Total Unusual Items,"7,343","8,063","6,112",-,-
Normalized EBITDA,"306,430","275,471","229,552","221,042","209,440"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"1,467","1,645","1,265",0,0
