Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"32,348,000","32,136,000","32,765,000","31,657,000","30,109,000"
Cost of Revenue,"16,935,000","17,136,000","16,682,000","16,001,000","15,040,000"
Gross Profit,"15,413,000","15,000,000","16,083,000","15,656,000","15,069,000"
Operating Expense,"8,820,000","8,940,000","9,423,000","8,422,000","7,846,000"
Operating Income,"6,593,000","6,060,000","6,660,000","7,234,000","7,223,000"
Net Non Operating Interest Income Expense,"-397,000","-368,000","-280,000","-272,000","-170,000"
Other Income Expense,"-5,000","20,000","620,000","586,000",-
Pretax Income,"6,191,000","5,712,000","7,000,000","7,548,000","7,053,000"
Tax Provision,"1,208,000","1,130,000","1,637,000","2,679,000","1,995,000"
Net Income Common Stockholders,"4,971,000","4,570,000","5,349,000","4,858,000","5,050,000"
Diluted NI Available to Com Stockholders,"4,971,000","4,570,000","5,349,000","4,858,000","5,050,000"
Basic EPS,-,0.0079,0.0091,0.0081,0.0084
Diluted EPS,-,0.0078,0.0089,0.0079,0.0082
Basic Average Shares,-,"577,000","588,500","597,500","604,700"
Diluted Average Shares,-,"585,100","602,000","612,700","618,700"
Total Operating Income as Reported,"6,701,000","6,174,000","7,207,000","7,820,000","7,223,000"
Total Expenses,"25,755,000","26,076,000","26,105,000","24,423,000","22,886,000"
Net Income from Continuing & Discontinued Operation,"4,971,000","4,570,000","5,349,000","4,858,000","5,050,000"
Normalized Income,"5,014,463","4,608,496","4,929,998","4,480,030","5,050,000"
Interest Income,"70,000","80,000","70,000","50,000","29,000"
Interest Expense,"467,000","448,000","350,000","322,000","199,000"
Net Interest Income,"-397,000","-368,000","-280,000","-272,000","-170,000"
EBIT,"6,658,000","6,160,000","7,350,000","7,870,000","7,252,000"
EBITDA,"8,316,000",-,-,-,-
Reconciled Cost of Revenue,"16,935,000","17,136,000","16,682,000","16,001,000","15,040,000"
Reconciled Depreciation,"1,658,000","1,593,000","1,488,000","1,544,000","1,474,000"
Net Income from Continuing Operation Net Minority Interest,"4,971,000","4,570,000","5,349,000","4,858,000","5,050,000"
Total Unusual Items Excluding Goodwill,"-54,000","-48,000","547,000","586,000",-
Total Unusual Items,"-54,000","-48,000","547,000","586,000",-
Normalized EBITDA,"8,370,000","7,801,000","8,291,000","8,828,000","8,726,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-10,537","-9,504","127,998","208,030",0
