Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,316,925","4,200,819","3,807,183","3,369,045","3,049,393"
Cost of Revenue,"1,734,676","1,682,234","1,511,808","1,231,355","1,107,393"
Gross Profit,"2,582,249","2,518,585","2,295,375","2,137,690","1,942,000"
Operating Expense,"1,125,783","1,115,646","1,011,756","938,903","856,662"
Operating Income,"1,456,466","1,402,939","1,283,619","1,198,787","1,085,338"
Net Non Operating Interest Income Expense,-,"13,023","9,653","2,836",-
Other Income Expense,-,"13,023","9,653","2,836","-5,653"
Pretax Income,"1,467,619","1,415,962","1,293,272","1,201,623","1,079,685"
Tax Provision,"342,434","308,127","300,268","380,945","367,000"
Net Income Common Stockholders,"1,125,185","1,107,835","993,004","820,678","712,685"
Diluted NI Available to Com Stockholders,"1,125,185","1,107,835","993,004","820,678","712,685"
Basic EPS,-,-,0.0018,0.0015,0.0012
Diluted EPS,-,-,0.0018,0.0014,0.0012
Basic Average Shares,-,-,"557,166","566,782","587,874"
Diluted Average Shares,-,-,"564,254","577,141","599,819"
Total Operating Income as Reported,"1,456,466","1,402,939","1,283,619","1,198,787","1,085,338"
Total Expenses,"2,860,459","2,797,880","2,523,564","2,170,258","1,964,055"
Net Income from Continuing & Discontinued Operation,"1,125,185","1,107,835","993,004","820,678","712,685"
Normalized Income,"1,125,185","1,107,835","993,004","820,678","712,685"
Interest Income,-,"13,023","9,653","2,836",-
Net Interest Income,-,"13,023","9,653","2,836",-
EBIT,"1,456,466","1,402,939","1,283,619","1,198,787","1,085,338"
EBITDA,"1,522,956",-,-,-,-
Reconciled Cost of Revenue,"1,734,676","1,682,234","1,511,808","1,231,355","1,107,393"
Reconciled Depreciation,"66,490","64,814","56,979","48,887","40,845"
Net Income from Continuing Operation Net Minority Interest,"1,125,185","1,107,835","993,004","820,678","712,685"
Total Unusual Items Excluding Goodwill,-,-,-,0,0
Total Unusual Items,-,-,-,0,0
Normalized EBITDA,"1,522,956","1,467,753","1,340,598","1,247,674","1,126,183"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
