Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"20,453,000","19,796,000","19,627,000","19,494,000","19,337,000"
Cost of Revenue,"7,680,000","7,085,000","7,373,000","7,543,000","7,746,000"
Gross Profit,"12,773,000","12,711,000","12,254,000","11,951,000","11,591,000"
Operating Expense,"2,230,000","2,226,000","2,756,000","2,362,000","2,650,000"
Operating Income,"10,543,000","10,485,000","9,498,000","9,589,000","8,941,000"
Net Non Operating Interest Income Expense,"-1,171,000","-1,280,000","-665,000","-705,000","-747,000"
Other Income Expense,"-8,014,000","-8,439,000","508,000","944,000","13,658,000"
Pretax Income,"1,358,000","766,000","9,341,000","9,828,000","21,852,000"
Tax Provision,"2,227,000","2,064,000","2,374,000","-399,000","7,608,000"
Net Income Common Stockholders,"-861,000","-1,293,000","6,963,000","10,222,000","14,239,000"
Average Dilution Earnings,"-7,000","-7,000","-8,000","-14,000","-24,000"
Diluted NI Available to Com Stockholders,"-868,000","-1,300,000","6,955,000","10,208,000","14,215,000"
Basic EPS,-,0,0.0037,0.0053,0.0073
Diluted EPS,-,0,0.0037,0.0053,0.0073
Basic Average Shares,-,"1,869,000","1,887,000","1,921,000","1,952,000"
Diluted Average Shares,-,"1,869,000","1,888,000","1,921,000","1,952,000"
Total Operating Income as Reported,"10,424,000","10,326,000","9,115,000","9,556,000","8,762,000"
Total Expenses,"9,910,000","9,311,000","10,129,000","9,905,000","10,396,000"
Net Income from Continuing & Discontinued Operation,"-861,000","-1,293,000","6,963,000","10,222,000","14,239,000"
Normalized Income,"5,062,800","6,153,730","7,273,336","9,826,892","5,852,324"
Interest Income,-,"42,000","32,000","31,000","13,000"
Interest Expense,-,"1,322,000","697,000","736,000","760,000"
Net Interest Income,"-1,171,000","-1,280,000","-665,000","-705,000","-747,000"
EBIT,"2,146,000","2,088,000","10,038,000","10,564,000","22,612,000"
EBITDA,"2,384,000",-,-,-,-
Reconciled Cost of Revenue,"7,680,000","7,085,000","7,373,000","7,543,000","7,746,000"
Reconciled Depreciation,"238,000","226,000","227,000","209,000","204,000"
Net Income from Continuing Operation Net Minority Interest,"-861,000","-1,293,000","6,963,000","10,222,000","14,239,000"
Total Unusual Items Excluding Goodwill,"-9,873,000","-10,201,000","-416,000","412,000","12,863,000"
Total Unusual Items,"-9,873,000","-10,201,000","-416,000","412,000","12,863,000"
Normalized EBITDA,"12,257,000","12,515,000","10,681,000","10,361,000","9,953,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-3,949,200","-2,754,270","-105,664","16,892","4,476,324"
