Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"123,949,000","123,949,000","96,504,000","74,733,000","63,339,000"
Cost of Revenue,"110,243,000","113,881,000","88,556,000","61,444,000","51,310,000"
Gross Profit,"13,706,000","10,068,000","7,948,000","13,289,000","12,029,000"
Operating Expense,"7,634,000","3,996,000","2,773,000","9,636,000","9,368,000"
Operating Income,"6,072,000","6,072,000","5,175,000","3,653,000","2,661,000"
Net Non Operating Interest Income Expense,"-1,244,000","-1,244,000","-886,000","-625,000","-556,000"
Other Income Expense,"-499,000","-499,000","279,000","316,000","-283,000"
Pretax Income,"4,329,000","4,329,000","4,568,000","3,344,000","1,822,000"
Tax Provision,"1,074,000","1,074,000","962,000","-460,000","609,000"
Net Income Common Stockholders,"2,636,000","2,636,000","2,779,000","3,430,000","1,173,000"
Diluted NI Available to Com Stockholders,"2,636,000","2,636,000","2,779,000","3,430,000","1,173,000"
Basic EPS,-,-,0.0054,0.0068,0.0022
Diluted EPS,-,-,0.0053,0.0067,0.0022
Basic Average Shares,-,-,"518,000","507,000","528,000"
Diluted Average Shares,-,-,"526,000","512,000","530,000"
Total Operating Income as Reported,"5,576,000","5,576,000","5,571,000","3,969,000","2,378,000"
Total Expenses,"117,984,000","117,877,000","91,329,000","71,080,000","60,678,000"
Interest Income,"40,000","40,000","87,000","27,000","6,000"
Interest Expense,"1,238,000","1,238,000","946,000","625,000","538,000"
Net Interest Income,"-1,244,000","-1,244,000","-886,000","-625,000","-556,000"
Net Income from Continuing & Discontinued Operation,"-6,590,000","2,637,000","2,780,000","3,432,000","1,174,000"
Normalized Income,"3,304,500","3,304,500","2,812,390","3,426,000","1,239,244"
EBIT,"5,567,000","5,567,000","5,514,000","3,969,000","2,360,000"
EBITDA,"9,205,000",-,-,-,-
Reconciled Cost of Revenue,"110,243,000","113,881,000","88,556,000","61,444,000","51,310,000"
Reconciled Depreciation,"3,638,000","3,638,000","2,490,000","2,114,000","2,001,000"
Net Income from Continuing Operation Net Minority Interest,"2,637,000","2,637,000","2,780,000","3,432,000","1,174,000"
Total Unusual Items Excluding Goodwill,"-890,000","-890,000","-41,000","10,000","-98,000"
Total Unusual Items,"-890,000","-890,000","-41,000","10,000","-98,000"
Normalized EBITDA,"10,095,000","10,095,000","8,045,000","6,073,000","4,459,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-222,500","-222,500","-8,610","4,000","-32,756"
