Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"48,081,000","46,840,000","42,294,000","40,122,000","39,807,000"
Cost of Revenue,"14,372,000","14,112,000","13,509,000","12,775,000","13,891,000"
Gross Profit,"33,709,000","32,728,000","28,785,000","27,347,000","25,916,000"
Operating Expense,"20,895,000","20,487,000","19,854,000","20,038,000","19,886,000"
Operating Income,"12,814,000","12,241,000","8,931,000","7,309,000","6,030,000"
Net Non Operating Interest Income Expense,"-686,000","-619,000","-429,000","-369,000","-365,000"
Other Income Expense,"107,000","-158,000","199,000","-419,000","-1,006,000"
Pretax Income,"12,235,000","11,464,000","8,701,000","6,521,000","4,659,000"
Tax Provision,"2,101,000","1,687,000","2,508,000","4,103,000","718,000"
Net Income Common Stockholders,"10,147,000","9,843,000","6,220,000","2,394,000","3,920,000"
Diluted NI Available to Com Stockholders,"10,147,000","9,843,000","6,220,000","2,394,000","3,920,000"
Basic EPS,-,0.0039,0.0024,0,0.0021
Diluted EPS,-,0.0038,0.0023,0,0.002
Basic Average Shares,-,"2,539,016","2,592,560","2,696,612","2,748,731"
Diluted Average Shares,-,"2,580,000","2,679,000","2,748,000","2,787,000"
Total Expenses,"35,267,000","34,599,000","33,363,000","32,813,000","33,777,000"
Net Income from Continuing & Discontinued Operation,"10,147,000","9,843,000","6,220,000","2,394,000","3,920,000"
Normalized Income,"10,519,726","10,401,715","6,542,536","2,853,000","4,617,950"
Interest Income,"210,000","274,000","343,000","385,000","328,000"
Interest Expense,"896,000","893,000","772,000","754,000","693,000"
Net Interest Income,"-686,000","-619,000","-429,000","-369,000","-365,000"
EBIT,"13,131,000","12,357,000","9,473,000","7,275,000","5,352,000"
EBITDA,"16,706,000",-,-,-,-
Reconciled Cost of Revenue,"14,372,000","14,112,000","13,509,000","12,775,000","13,891,000"
Reconciled Depreciation,"3,575,000","3,652,000","4,519,000","4,637,000","5,441,000"
Net Income from Continuing Operation Net Minority Interest,"10,147,000","9,843,000","6,220,000","2,394,000","3,920,000"
Total Unusual Items Excluding Goodwill,"-450,000","-655,000","-453,000","-765,000","-825,000"
Total Unusual Items,"-450,000","-655,000","-453,000","-765,000","-825,000"
Normalized EBITDA,"17,156,000","16,664,000","14,445,000","12,677,000","11,618,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-77,274","-96,285","-130,464","-306,000","-127,050"
