Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"1,603,195","1,557,796","1,433,984","1,274,172","1,150,669"
Cost of Revenue,"287,224","294,961","287,335","273,913","252,107"
Gross Profit,"1,315,971","1,262,835","1,146,649","1,000,259","898,562"
Operating Expense,"515,061","507,134","459,751","421,071","410,458"
Operating Income,"800,910","755,701","686,898","579,188","488,104"
Net Non Operating Interest Income Expense,"-136,557","-131,638","-113,445","-109,784","-98,745"
Other Income Expense,"-26,478","-20,745","56,443","-2,505","-3,421"
Pretax Income,"637,875","603,318","629,896","466,899","385,938"
Tax Provision,"104,294","39,670","122,011","162,927","125,083"
Net Income Common Stockholders,"533,581","563,648","507,885","303,972","260,855"
Diluted NI Available to Com Stockholders,"533,581","563,648","507,885","303,972","260,855"
Basic EPS,-,0.0067,0.0058,0.0034,0.0027
Diluted EPS,-,0.0066,0.0057,0.0033,0.0027
Basic Average Shares,-,"84,644","87,179","90,336","95,986"
Diluted Average Shares,-,"85,536","89,701","91,914","96,540"
Total Operating Income as Reported,"800,910","755,701","686,898","579,188","488,104"
Total Expenses,"802,285","802,095","747,086","694,984","662,565"
Net Income from Continuing & Discontinued Operation,"533,581","563,648","507,885","303,972","260,855"
Normalized Income,"533,581","563,648","507,885","303,972","260,855"
Interest Income,"15,800","16,403","19,669","6,314","2,906"
Interest Expense,"152,357","148,041","133,114","116,098","101,651"
Net Interest Income,"-136,557","-131,638","-113,445","-109,784","-98,745"
EBIT,"790,232","751,359","763,010","582,997","487,589"
EBITDA,"871,747",-,-,-,-
Reconciled Cost of Revenue,"286,818","294,961","287,335","273,913","252,107"
Reconciled Depreciation,"81,515","79,409","85,535","79,987","81,353"
Net Income from Continuing Operation Net Minority Interest,"533,581","563,648","507,885","303,972","260,855"
Normalized EBITDA,"871,747","830,768","848,545","662,984","568,942"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
