Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"138,699,000","125,843,000","110,360,000","89,950,000","85,320,000"
Cost of Revenue,"44,151,000","42,910,000","38,353,000","34,261,000","32,780,000"
Gross Profit,"94,548,000","82,933,000","72,007,000","55,689,000","52,540,000"
Operating Expense,"42,591,000","39,974,000","36,949,000","33,057,000","31,248,000"
Operating Income,"51,957,000","42,959,000","35,058,000","22,632,000","21,292,000"
Net Non Operating Interest Income Expense,"-2,574,000","-2,686,000","-2,733,000","-2,222,000","-1,243,000"
Other Income Expense,"2,827,000","3,415,000","4,149,000","2,739,000","-298,000"
Pretax Income,"52,210,000","43,688,000","36,474,000","23,149,000","19,751,000"
Tax Provision,"5,944,000","4,448,000","19,903,000","1,945,000","2,953,000"
Net Income Common Stockholders,"46,266,000","39,240,000","16,571,000","21,204,000","16,798,000"
Diluted NI Available to Com Stockholders,"46,266,000","39,240,000","16,571,000","21,204,000","16,798,000"
Basic EPS,-,0.0051,0.0022,0.0027,0.0021
Diluted EPS,-,0.0051,0.0021,0.0027,0.0021
Basic Average Shares,-,"7,673,000","7,700,000","7,746,000","7,925,000"
Diluted Average Shares,-,"7,753,000","7,794,000","7,832,000","8,013,000"
Total Operating Income as Reported,"51,957,000","42,959,000","35,058,000","22,326,000","20,182,000"
Total Expenses,"86,742,000","82,884,000","75,302,000","67,318,000","64,028,000"
Net Income from Continuing & Discontinued Operation,"46,266,000","39,240,000","16,571,000","21,204,000","16,798,000"
Normalized Income,"43,618,178","36,122,144","13,499,160","18,453,200","16,885,550"
Interest Expense,"2,574,000","2,686,000","2,733,000","2,222,000","1,243,000"
Net Interest Income,"-2,574,000","-2,686,000","-2,733,000","-2,222,000","-1,243,000"
EBIT,"54,784,000","46,374,000","39,207,000","25,371,000","20,994,000"
EBITDA,"67,000,000",-,-,-,-
Reconciled Cost of Revenue,"44,151,000","42,910,000","38,353,000","34,261,000","32,780,000"
Reconciled Depreciation,"12,216,000","11,682,000","10,261,000","8,778,000","6,622,000"
Net Income from Continuing Operation Net Minority Interest,"46,266,000","39,240,000","16,571,000","21,204,000","16,798,000"
Total Unusual Items Excluding Goodwill,"2,988,000","3,472,000","4,208,000","2,990,000","-103,000"
Total Unusual Items,"2,988,000","3,472,000","4,208,000","2,990,000","-103,000"
Normalized EBITDA,"64,012,000","54,584,000","45,260,000","31,159,000","27,719,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"340,178","354,144","1,136,160","239,200","-15,450"
