Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"7,885,000","7,887,000","7,343,000","6,380,000","6,038,000"
Cost of Revenue,"3,940,000","3,956,000","3,863,000","3,356,000","3,169,000"
Gross Profit,"3,945,000","3,931,000","3,480,000","3,024,000","2,869,000"
Operating Expense,"2,240,000","2,221,000","2,061,000","1,698,000","1,666,000"
Operating Income,"1,705,000","1,710,000","1,419,000","1,326,000","1,203,000"
Net Non Operating Interest Income Expense,"-217,000","-220,000","-222,000","-201,000","-205,000"
Other Income Expense,"-448,000","-489,000","-95,000","-49,000","-154,000"
Pretax Income,"1,040,000","1,001,000","1,102,000","1,076,000","844,000"
Tax Provision,"123,000","130,000","133,000","1,227,000","282,000"
Net Income Common Stockholders,"914,000","868,000","966,000","-155,000","560,000"
Diluted NI Available to Com Stockholders,"914,000","868,000","966,000","-155,000","560,000"
Basic EPS,-,-,0.006,0,0.0033
Diluted EPS,-,-,0.0056,0,0.0032
Basic Average Shares,-,-,"162,400","162,900","169,600"
Diluted Average Shares,-,-,"172,000","162,900","173,100"
Total Operating Income as Reported,"1,611,000","1,581,000","1,255,000","1,282,000","1,067,000"
Total Expenses,"6,180,000","6,177,000","5,924,000","5,054,000","4,835,000"
Net Income from Continuing & Discontinued Operation,"914,000","868,000","966,000","-155,000","560,000"
Normalized Income,"1,304,607","1,302,130","1,062,800","-120,800","669,210"
Interest Income,"15,000","17,000","18,000","14,000","20,000"
Interest Expense,"232,000","237,000","240,000","215,000","225,000"
Net Interest Income,"-217,000","-220,000","-222,000","-201,000","-205,000"
EBIT,"1,272,000","1,238,000","1,342,000","1,291,000","1,069,000"
EBITDA,"1,670,000",-,-,-,-
Reconciled Cost of Revenue,"3,753,000","3,770,000","3,691,000","3,164,000","2,987,000"
Reconciled Depreciation,"398,000","394,000","360,000","343,000","295,000"
Net Income from Continuing Operation Net Minority Interest,"914,000","868,000","966,000","-155,000","560,000"
Total Unusual Items Excluding Goodwill,"-443,000","-499,000","-110,000","-57,000","-163,000"
Total Unusual Items,"-443,000","-499,000","-110,000","-57,000","-163,000"
Normalized EBITDA,"2,113,000","2,131,000","1,812,000","1,691,000","1,527,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-52,393","-64,870","-13,200","-22,800","-53,790"
