Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"37,980,000","38,926,000","37,714,000","35,852,000","32,711,000"
Non Interest Expense,"27,488,000","27,625,000","26,477,000","25,449,000","23,863,000"
Pretax Income,"10,492,000","11,301,000","11,237,000","10,403,000","8,848,000"
Tax Provision,"1,943,000","2,064,000","2,350,000","4,168,000","2,726,000"
Net Income Common Stockholders,"7,766,000","8,512,000","8,222,000","5,588,000","5,508,000"
Diluted NI Available to Com Stockholders,"7,766,000","8,512,000","8,222,000","5,588,000","5,508,000"
Basic EPS,-,0.0053,0.0048,0.0032,0.003
Diluted EPS,-,0.0052,0.0047,0.0031,0.0029
Basic Average Shares,-,"1,617,000","1,708,000","1,780,000","1,849,000"
Diluted Average Shares,-,"1,640,000","1,738,000","1,821,000","1,887,000"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"5,036,000","4,694,000","3,806,000","3,300,000","3,698,000"
Net Income from Continuing & Discontinued Operation,"8,311,000","9,042,000","8,748,000","6,111,000","5,979,000"
Normalized Income,"8,311,000","9,042,000","8,752,000","6,130,000","5,978,000"
Total Money Market Investments,"2,936,000","3,485,000","1,976,000","169,000","-204,000"
Reconciled Depreciation,"2,809,000","2,643,000","1,844,000","1,753,000","1,736,000"
Net Income from Continuing Operation Net Minority Interest,"8,311,000","9,042,000","8,752,000","6,130,000","5,978,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
