Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"6,147,283","6,191,943","5,928,302","5,632,187","5,295,883"
Credit Losses Provision,"-404,000","-176,000","-132,000","-168,000","-190,000"
Non Interest Expense,"3,480,750","3,468,682","3,288,062","3,140,325","3,047,485"
Pretax Income,"2,262,533","2,547,261","2,508,240","2,323,862","2,058,398"
Tax Provision,"547,304","618,112","590,160","915,556","743,284"
Net Income Common Stockholders,"1,638,124","1,849,509","1,836,028","1,327,503","1,223,459"
Average Dilution Earnings,-,2,7,-,-
Diluted NI Available to Com Stockholders,"1,638,126","1,849,511","1,836,035","1,327,503","1,223,459"
Basic EPS,-,0.0138,0.0128,0.0087,0.0078
Diluted EPS,-,0.0138,0.0127,0.0087,0.0078
Basic Average Shares,-,"140,200","138,510","152,238","156,857"
Diluted Average Shares,-,"140,200","138,510","152,551","157,304"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"3,653,009","3,954,264","3,940,302","3,613,044","3,279,887"
Net Income from Continuing & Discontinued Operation,"1,715,229","1,929,149","1,918,080","1,408,306","1,315,114"
Normalized Income,"1,715,229","1,929,149","1,918,080","1,408,306","1,315,114"
Total Money Market Investments,"132,956","141,397","108,182","61,326","45,516"
Reconciled Depreciation,"306,803","301,315","179,005","197,125","200,591"
Net Income from Continuing Operation Net Minority Interest,"1,715,229","1,929,149","1,918,080","1,408,306","1,315,114"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
