Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017,8/31/2016
Total Revenue,"19,599,000","23,406,000","30,391,000","20,322,000","12,399,000"
Cost of Revenue,"13,655,000","12,704,000","12,500,000","11,886,000","9,894,000"
Gross Profit,"5,944,000","10,702,000","17,891,000","8,436,000","2,505,000"
Operating Expense,"3,390,000","3,312,000","2,965,000","2,572,000","2,274,000"
Operating Income,"2,554,000","7,390,000","14,926,000","5,864,000","231,000"
Net Non Operating Interest Income Expense,"26,000","77,000","-222,000","-560,000","-395,000"
Other Income Expense,"-221,000","-419,000","-397,000","-108,000","-117,000"
Pretax Income,"2,359,000","7,048,000","14,307,000","5,196,000","-281,000"
Tax Provision,"12,000","693,000","168,000","114,000","19,000"
Earnings from Equity Interest Net of Tax,"5,000","3,000","-1,000","8,000","25,000"
Net Income Common Stockholders,"2,297,000","6,313,000","14,135,000","5,089,000","-276,000"
Average Dilution Earnings,"-14,000","-12,000",-,0,0
Diluted NI Available to Com Stockholders,"2,283,000","6,301,000","14,135,000","5,089,000","-276,000"
Basic EPS,-,0.0057,0.0123,0.0047,0
Diluted EPS,-,0.0055,0.0115,0.0044,0
Basic Average Shares,-,"1,114,000","1,152,000","1,089,000","1,036,000"
Diluted Average Shares,-,"1,143,000","1,229,000","1,154,000","1,036,000"
Total Operating Income as Reported,"2,618,000","7,376,000","14,994,000","5,868,000","168,000"
Total Expenses,"17,045,000","16,016,000","15,465,000","14,458,000","12,168,000"
Net Income from Continuing & Discontinued Operation,"2,297,000","6,313,000","14,135,000","5,089,000","-276,000"
Normalized Income,"2,521,850","6,690,938","14,522,296","5,255,260","-191,188"
Interest Income,"187,000","205,000","120,000","41,000","42,000"
Interest Expense,"161,000","128,000","342,000","601,000","437,000"
Net Interest Income,"26,000","77,000","-222,000","-560,000","-395,000"
EBIT,"2,520,000","7,176,000","14,649,000","5,797,000","156,000"
EBITDA,"7,957,000",-,-,-,-
Reconciled Cost of Revenue,"13,655,000","12,704,000","12,500,000","11,886,000","9,894,000"
Reconciled Depreciation,"5,437,000","5,424,000","4,759,000","3,861,000","2,980,000"
Net Income from Continuing Operation Net Minority Interest,"2,297,000","6,313,000","14,135,000","5,089,000","-276,000"
Total Unusual Items Excluding Goodwill,"-226,000","-419,000","-392,000","-170,000","-91,000"
Total Unusual Items,"-226,000","-419,000","-392,000","-170,000","-91,000"
Normalized EBITDA,"8,183,000","13,019,000","19,800,000","9,828,000","3,227,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-1,150","-41,062","-4,704","-3,740","-6,188"
