Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,"2,202,571","2,314,329","2,480,066","2,295,615","2,194,719"
Cost of Revenue,"775,896","813,823","853,945","849,135","950,331"
Gross Profit,"1,426,675","1,500,506","1,626,121","1,446,480","1,244,388"
Operating Expense,"738,297","747,023","776,721","731,733","717,876"
Operating Income,"688,378","753,483","849,400","714,747","526,512"
Net Non Operating Interest Income Expense,"1,247","4,301","-11,923","-22,706","-29,757"
Other Income Expense,"-3,378","-3,363","-12,592","-12,452","-211,701"
Pretax Income,"686,247","754,421","824,885","679,589","285,054"
Tax Provision,"-128,707","-73,065","357,567","107,976","57,579"
Net Income Common Stockholders,"814,954","827,486","467,318","571,613","227,475"
Diluted NI Available to Com Stockholders,"814,954","827,486","467,318","571,613","227,475"
Basic EPS,-,0.003,0.0017,0.002,0
Diluted EPS,-,0.003,0.0016,0.002,0
Basic Average Shares,-,"274,966","280,979","283,147","285,081"
Diluted Average Shares,-,"278,777","285,674","287,974","289,479"
Total Operating Income as Reported,"681,978","747,098","833,448","694,777","313,849"
Total Expenses,"1,514,193","1,560,846","1,630,666","1,580,868","1,668,207"
Net Income from Continuing & Discontinued Operation,"814,954","827,486","467,318","571,613","227,475"
Normalized Income,"818,794","833,252","478,963","588,408","397,180"
Interest Income,-,"47,844","38,292",-,-
Interest Expense,-,"43,543","50,215",-,-
Net Interest Income,"1,247","4,301","-11,923","-22,706","-29,757"
EBIT,"732,859","797,964","875,100","714,747","526,512"
EBITDA,"830,577",-,-,-,-
Reconciled Cost of Revenue,"681,202","706,119","713,438","694,032","717,899"
Reconciled Depreciation,"97,718","110,745","144,974","164,292","244,637"
Net Income from Continuing Operation Net Minority Interest,"814,954","827,486","467,318","571,613","227,475"
Total Unusual Items Excluding Goodwill,"-6,400","-6,385","-15,952","-19,970","-212,663"
Total Unusual Items,"-6,400","-6,385","-15,952","-19,970","-212,663"
Normalized EBITDA,"836,977","915,094","1,036,026","899,009","983,812"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-2,560",-619.345,"-4,307","-3,175","-42,958"
