Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,624,200","11,500,500","11,433,900","11,907,700","11,076,900"
Cost of Revenue,"7,625,700","7,602,900","7,432,300","7,124,600","6,379,900"
Gross Profit,"3,998,500","3,897,600","4,001,600","4,783,100","4,697,000"
Operating Expense,"3,142,600","3,203,500","3,145,500","3,359,100","3,322,900"
Operating Income,"855,900","694,100","856,100","1,424,000","1,374,100"
Net Non Operating Interest Income Expense,"-506,000","-517,300","-542,300","-528,400","-442,500"
Other Income Expense,"-50,300","-22,400","-15,400","7,400","-809,900"
Pretax Income,"299,600","154,400","298,400","903,000","121,700"
Tax Provision,"237,000","137,600","-54,100","207,000","-358,300"
Net Income Common Stockholders,"62,600","16,800","352,500","696,000","480,000"
Diluted NI Available to Com Stockholders,"62,600","16,800","352,500","696,000","480,000"
Basic EPS,-,-,0,0.0013,0
Diluted EPS,-,-,0,0.0013,0
Basic Average Shares,-,-,"514,500","534,500","513,000"
Diluted Average Shares,-,-,"516,500","536,700","520,500"
Total Operating Income as Reported,"876,200","715,500","905,600","1,437,100","701,600"
Total Expenses,"10,768,300","10,806,400","10,577,800","10,483,700","9,702,800"
Net Income from Continuing & Discontinued Operation,"62,600","16,800","352,500","696,000","480,000"
Normalized Income,"53,123","-8,148","296,205","651,282","1,045,440"
Interest Income,-,-,-,"6,200","12,300"
Interest Expense,"506,000","517,300","542,300","534,600","454,800"
Net Interest Income,"-506,000","-517,300","-542,300","-528,400","-442,500"
EBIT,"805,600","671,700","840,700","1,437,600","576,500"
EBITDA,"2,739,400",-,-,-,-
Reconciled Cost of Revenue,"7,625,700","7,602,900","7,432,300","7,124,600","6,379,900"
Reconciled Depreciation,"1,933,800","2,019,300","2,109,900","1,805,800","1,523,000"
Net Income from Continuing Operation Net Minority Interest,"62,600","16,800","352,500","696,000","480,000"
Total Unusual Items Excluding Goodwill,"11,700","30,800","69,500","58,000","-706,800"
Total Unusual Items,"11,700","30,800","69,500","58,000","-706,800"
Normalized EBITDA,"2,727,700","2,660,200","2,881,100","3,185,400","2,806,300"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"2,223","5,852","13,205","13,282","-141,360"
