Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"4,576,000","4,262,000","4,277,000","3,965,000","3,705,000"
Cost of Revenue,"1,974,000","1,727,000","1,751,000","1,537,000","1,428,000"
Gross Profit,"2,602,000","2,535,000","2,526,000","2,428,000","2,277,000"
Operating Expense,"1,506,000","1,449,000","1,477,000","1,385,000","1,321,000"
Operating Income,"1,096,000","1,086,000","1,049,000","1,043,000","956,000"
Net Non Operating Interest Income Expense,"-104,000","-114,000","-140,000","-136,000","-130,000"
Other Income Expense,"-13,000","47,000","155,000","-27,000","-690,000"
Pretax Income,"979,000","1,019,000","1,064,000","880,000","136,000"
Tax Provision,"249,000","245,000","606,000","146,000","28,000"
Net Income Common Stockholders,"730,000","774,000","458,000","734,000","108,000"
Diluted NI Available to Com Stockholders,"730,000","774,000","458,000","734,000","108,000"
Basic EPS,-,0.0047,0.0028,0.0044,0
Diluted EPS,-,0.0046,0.0027,0.0043,0
Basic Average Shares,-,"164,900","165,300","166,400","165,200"
Diluted Average Shares,-,"167,000","167,700","169,600","168,800"
Total Operating Income as Reported,"1,017,000","1,017,000","1,028,000","999,000","839,000"
Rent Expense Supplemental,"98,000","97,000","95,000","95,000","86,000"
Total Expenses,"3,480,000","3,176,000","3,228,000","2,922,000","2,749,000"
Net Income from Continuing & Discontinued Operation,"730,000","774,000","458,000","734,000","108,000"
Normalized Income,"788,907","805,920","357,990","769,028","657,448"
Interest Income,"9,000","10,000","10,000","7,000","5,000"
Interest Expense,"104,000","115,000","140,000","135,000","129,000"
Net Interest Income,"-104,000","-114,000","-140,000","-136,000","-130,000"
EBIT,"1,083,000","1,134,000","1,204,000","1,015,000","265,000"
EBITDA,"1,273,000",-,-,-,-
Reconciled Cost of Revenue,"1,974,000","1,727,000","1,751,000","1,537,000","1,428,000"
Reconciled Depreciation,"190,000","190,000","210,000","188,000","170,000"
Net Income from Continuing Operation Net Minority Interest,"730,000","774,000","458,000","734,000","108,000"
Total Unusual Items Excluding Goodwill,"-79,000","-42,000","137,000","-42,000","-692,000"
Total Unusual Items,"-79,000","-42,000","137,000","-42,000","-692,000"
Normalized EBITDA,"1,352,000","1,366,000","1,277,000","1,245,000","1,127,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-20,093","-10,080","36,990","-6,972","-142,552"
