Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"19,742,000","19,204,000","16,727,000","17,195,000","16,155,000"
Cost of Revenue,"7,872,000","8,003,000","7,062,000","7,398,000","7,431,000"
Gross Profit,"11,870,000","11,201,000","9,665,000","9,797,000","8,724,000"
Operating Expense,"6,217,000","6,147,000","5,422,000","5,067,000","4,427,000"
Operating Income,"5,653,000","5,054,000","4,243,000","4,730,000","4,297,000"
Net Non Operating Interest Income Expense,"-2,791,000","-2,195,000","-1,447,000","-1,477,000","-1,011,000"
Other Income Expense,"367,000","977,000","4,556,000","1,414,000","1,102,000"
Pretax Income,"3,229,000","3,836,000","7,352,000","4,667,000","4,388,000"
Tax Provision,"139,000","448,000","1,576,000","-653,000","1,383,000"
Net Income Common Stockholders,"3,510,000","3,769,000","6,638,000","5,378,000","2,912,000"
Average Dilution Earnings,-,0,"-19,000",-,-
Diluted NI Available to Com Stockholders,"3,510,000","3,769,000","6,619,000","5,378,000","2,912,000"
Basic EPS,-,0.0077,0.0139,0.0114,0.0063
Diluted EPS,-,0.0077,0.0139,0.0114,0.0063
Basic Average Shares,-,"489,000","478,000","471,000","465,920"
Diluted Average Shares,-,"489,000","478,000","473,000","466,000"
Total Operating Income as Reported,"6,199,000","5,353,000","4,280,000","5,326,000","4,608,000"
Total Expenses,"14,089,000","14,150,000","12,484,000","12,465,000","11,858,000"
Interest Income,"55,000","54,000","51,000","81,000","82,000"
Interest Expense,"2,846,000","2,249,000","1,498,000","1,558,000","1,093,000"
Net Interest Income,"-2,791,000","-2,195,000","-1,447,000","-1,477,000","-1,011,000"
Net Income from Continuing & Discontinued Operation,"3,510,000","3,769,000","6,638,000","5,378,000","2,912,000"
Normalized Income,"3,071,716","3,187,103","3,508,148","4,902,800","2,498,945"
EBIT,"6,075,000","6,085,000","8,850,000","6,225,000","5,481,000"
EBITDA,"10,613,000",-,-,-,-
Reconciled Cost of Revenue,"7,626,000","7,741,000","6,826,000","7,126,000","7,131,000"
Reconciled Depreciation,"4,538,000","4,478,000","4,147,000","2,629,000","3,377,000"
Net Income from Continuing Operation Net Minority Interest,"3,510,000","3,769,000","6,638,000","5,378,000","2,912,000"
Total Unusual Items Excluding Goodwill,"458,000","659,000","3,982,000","792,000","603,000"
Total Unusual Items,"458,000","659,000","3,982,000","792,000","603,000"
Normalized EBITDA,"10,155,000","9,904,000","9,015,000","8,062,000","8,255,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"19,716","77,103","852,148","316,800","189,945"
