Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"10,518,000","9,740,000","7,253,000","7,348,000","6,711,000"
Cost of Revenue,"7,155,000","7,155,000","5,308,000","5,287,000","4,992,000"
Gross Profit,"2,585,000","2,585,000","1,945,000","2,061,000","1,719,000"
Operating Expense,"1,044,000","1,044,000","766,000","752,000","710,000"
Operating Income,"1,541,000","1,541,000","1,179,000","1,309,000","1,009,000"
Net Non Operating Interest Income Expense,"-244,000","-244,000","-151,000","-213,000","-273,000"
Other Income Expense,"2,396,000","2,396,000","-290,000","-4,000","-950,000"
Pretax Income,"3,693,000","3,693,000","738,000","1,092,000","-214,000"
Tax Provision,"832,000","832,000","386,000","1,125,000","563,000"
Earnings from Equity Interest Net of Tax,"95,000","95,000","-33,000","-16,000","-13,000"
Net Income Common Stockholders,"2,805,000","2,805,000","341,000","-98,000","-627,000"
Diluted NI Available to Com Stockholders,"2,805,000","2,805,000","341,000","-98,000","-627,000"
Basic EPS,-,-,0,0,-0.0012
Diluted EPS,-,-,0,0,-0.0012
Basic Average Shares,-,-,"533,000","533,000","531,356"
Diluted Average Shares,-,-,"535,000","535,000","531,356"
Total Expenses,"8,199,000","8,199,000","6,074,000","6,039,000","5,702,000"
Interest Income,"57,000","57,000","56,000","28,000",-
Interest Expense,"325,000","301,000","207,000","241,000","273,000"
Net Interest Income,"-244,000","-244,000","-151,000","-213,000","-273,000"
Net Income from Continuing & Discontinued Operation,"2,805,000","2,805,000","341,000","-98,000","-627,000"
Normalized Income,"2,891,630","2,891,630","509,220","-46,800","91,000"
EBIT,"3,994,000","3,994,000","945,000","1,333,000","59,000"
EBITDA,"5,954,000",-,-,-,-
Reconciled Cost of Revenue,"7,155,000","7,155,000","5,308,000","5,287,000","4,992,000"
Reconciled Depreciation,"1,960,000","1,960,000","1,215,000","1,249,000","1,220,000"
Net Income from Continuing Operation Net Minority Interest,"2,877,000","2,877,000","280,000","-60,000","-494,000"
Total Unusual Items Excluding Goodwill,"-19,000","-19,000","-314,000","-22,000","-975,000"
Total Unusual Items,"-193,000","-19,000","-314,000","-22,000","-975,000"
Normalized EBITDA,"5,973,000","5,973,000","2,474,000","2,604,000","2,254,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-4,370","-4,370","-84,780","-8,800","-390,000"
