Breakdown,ttm,3/31/2020,3/31/2019,3/31/2018,3/31/2017
Total Revenue,"2,490,000","2,490,000","4,731,000","4,834,000","4,019,000"
Cost of Revenue,"393,000","393,000","1,050,000","1,032,000","853,000"
Gross Profit,"2,097,000","2,097,000","3,681,000","3,802,000","3,166,000"
Operating Expense,"1,476,000","1,476,000","3,060,000","3,343,000","2,993,000"
Operating Income,"621,000","621,000","621,000","459,000","173,000"
Net Non Operating Interest Income Expense,"-196,000","-196,000","-166,000","-232,000","-187,000"
Other Income Expense,"394,000","394,000","-347,000","210,000","-248,000"
Pretax Income,"819,000","819,000","108,000","437,000","-262,000"
Tax Provision,"241,000","241,000","92,000","-690,000","-26,000"
Net Income Common Stockholders,"3,887,000","3,887,000","31,000","1,138,000","-106,000"
Diluted NI Available to Com Stockholders,"3,887,000","3,887,000","31,000","1,138,000","-106,000"
Basic EPS,-,-,0,0.0019,0
Diluted EPS,-,-,0,0.0017,0
Basic Average Shares,-,-,"632,000","616,000","618,000"
Diluted Average Shares,-,-,"661,000","668,000","618,000"
Total Operating Income as Reported,"355,000","355,000","380,000","49,000","-100,000"
Total Expenses,"1,869,000","1,869,000","4,110,000","4,375,000","3,846,000"
Net Income from Continuing & Discontinued Operation,"3,887,000","3,887,000","31,000","1,138,000","-106,000"
Normalized Income,"765,726","765,726","205,070","970,050","9,908"
Interest Income,-,-,"42,000","24,000","21,000"
Interest Expense,"196,000","196,000","208,000","256,000","208,000"
Net Interest Income,"-196,000","-196,000","-166,000","-232,000","-187,000"
EBIT,"1,015,000","1,015,000","316,000","693,000","-54,000"
EBITDA,"1,376,000",-,-,-,-
Reconciled Cost of Revenue,"111,000","111,000","642,000","612,000","470,000"
Reconciled Depreciation,"361,000","361,000","615,000","640,000","530,000"
Net Income from Continuing Operation Net Minority Interest,"578,000","578,000","16,000","1,127,000","-236,000"
Total Unusual Items Excluding Goodwill,"-266,000","-266,000","-259,000","215,000","-273,000"
Total Unusual Items,"-266,000","-266,000","-259,000","215,000","-273,000"
Normalized EBITDA,"1,642,000","1,642,000","1,190,000","1,118,000","749,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-78,274","-78,274","-69,930","58,050","-27,092"
