Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"34,272,000","33,841,000","30,095,000","25,803,000","24,508,000"
Cost of Revenue,"26,987,000","26,582,000","23,304,000","19,849,000","18,731,000"
Gross Profit,"7,285,000","7,259,000","6,791,000","5,954,000","5,777,000"
Operating Expense,"3,318,000","3,290,000","3,011,000","2,655,000","2,584,000"
Operating Income,"3,967,000","3,969,000","3,780,000","3,299,000","3,193,000"
Net Non Operating Interest Income Expense,"-515,000","-528,000","-562,000","-360,000","-301,000"
Other Income Expense,"-885,000","-893,000","524,000","110,000","31,000"
Pretax Income,"2,567,000","2,548,000","3,742,000","3,049,000","2,923,000"
Tax Provision,"314,000","300,000","513,000","1,034,000","723,000"
Net Income Common Stockholders,"2,253,000","2,248,000","3,229,000","2,015,000","2,200,000"
Diluted NI Available to Com Stockholders,"2,253,000","2,248,000","3,229,000","2,015,000","2,200,000"
Basic EPS,-,0.0133,0.0186,0.0116,0.0123
Diluted EPS,-,0.0132,0.0185,0.0115,0.0122
Basic Average Shares,-,"169,300","173,700","174,400","178,900"
Diluted Average Shares,-,"170,000","174,600","175,600","180,500"
Total Operating Income as Reported,"3,967,000","3,969,000","3,780,000","3,299,000","3,193,000"
Total Expenses,"30,305,000","29,872,000","26,315,000","22,504,000","21,315,000"
Net Income from Continuing & Discontinued Operation,"2,253,000","2,248,000","3,229,000","2,015,000","2,200,000"
Normalized Income,"2,253,000","2,248,000","3,229,000","2,015,000","2,200,000"
Interest Expense,"515,000","528,000","562,000","360,000","301,000"
Net Interest Income,"-515,000","-528,000","-562,000","-360,000","-301,000"
EBIT,"3,082,000","3,076,000","4,304,000","3,409,000","3,224,000"
EBITDA,"4,095,000",-,-,-,-
Reconciled Cost of Revenue,"26,987,000","26,582,000","23,304,000","19,849,000","18,731,000"
Reconciled Depreciation,"1,013,000","1,018,000","800,000","475,000","456,000"
Net Income from Continuing Operation Net Minority Interest,"2,253,000","2,248,000","3,229,000","2,015,000","2,200,000"
Normalized EBITDA,"4,095,000","4,094,000","5,104,000","3,884,000","3,680,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
