Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"11,081,000","11,296,000","11,458,000","10,551,000","9,888,000"
Cost of Revenue,"6,701,000","6,894,000","7,206,000","6,572,000","6,379,000"
Gross Profit,"4,380,000","4,402,000","4,252,000","3,979,000","3,509,000"
Operating Expense,"218,000","220,000","117,000","263,000","320,000"
Operating Income,"4,162,000","4,182,000","4,135,000","3,716,000","3,189,000"
Net Non Operating Interest Income Expense,"-609,000","-604,000","-557,000","-554,000","-559,000"
Other Income Expense,"-487,000","-87,000","-109,000","-34,000","-48,000"
Pretax Income,"3,066,000","3,491,000","3,469,000","3,128,000","2,582,000"
Tax Provision,"640,000","769,000","803,000","-2,276,000","914,000"
Net Income Common Stockholders,"2,421,000","2,717,000","2,660,000","5,400,000","1,663,000"
Average Dilution Earnings,-,"5,000","5,000","2,000","1,000"
Diluted NI Available to Com Stockholders,"2,425,000","2,722,000","2,665,000","5,402,000","1,664,000"
Basic EPS,-,0.0106,0.0099,0.0188,0.0057
Diluted EPS,-,0.0103,0.0095,0.0186,0.0056
Basic Average Shares,-,"257,905","268,098","287,900","293,900"
Diluted Average Shares,-,"265,600","280,200","290,300","296,000"
Total Operating Income as Reported,"3,591,000","3,989,000","3,959,000","3,586,000","3,074,000"
Total Expenses,"6,919,000","7,114,000","7,323,000","6,835,000","6,699,000"
Interest Income,-,-,-,"13,000","10,000"
Interest Expense,"609,000","604,000","557,000","567,000","569,000"
Net Interest Income,"-609,000","-604,000","-557,000","-554,000","-559,000"
Net Income from Continuing & Discontinued Operation,"2,426,000","2,722,000","2,666,000","5,404,000","1,668,000"
Normalized Income,"2,823,212","2,818,720","2,801,344","5,463,400","1,746,166"
EBIT,"3,675,000","4,095,000","4,026,000","3,695,000","3,151,000"
EBITDA,"4,823,000",-,-,-,-
Reconciled Cost of Revenue,"6,701,000","6,894,000","7,206,000","5,517,000","5,353,000"
Reconciled Depreciation,"1,148,000","1,139,000","1,104,000","1,059,000","1,030,000"
Net Income from Continuing Operation Net Minority Interest,"2,426,000","2,722,000","2,666,000","5,404,000","1,668,000"
Total Unusual Items Excluding Goodwill,"-502,000","-124,000","-176,000","-99,000","-121,000"
Total Unusual Items,"-502,000","-124,000","-176,000","-99,000","-121,000"
Normalized EBITDA,"5,325,000","5,358,000","5,306,000","4,853,000","4,302,000"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-104,788","-27,280","-40,656","-39,600","-42,834"
