Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"5,401,000","5,298,600","5,220,800","4,706,900","4,334,700"
Credit Losses Provision,"-46,500","14,500","14,500","28,000","26,000"
Non Interest Expense,"3,401,500","3,369,000","3,277,500","3,101,000","2,843,600"
Pretax Income,"1,953,000","1,944,100","1,957,800","1,633,900","1,517,100"
Tax Provision,"447,300","451,900","401,400","434,900","484,600"
Net Income Common Stockholders,"1,429,600","1,428,900","1,489,900","1,130,400","990,400"
Diluted NI Available to Com Stockholders,"1,429,600","1,428,900","1,489,900","1,130,400","990,400"
Basic EPS,-,0.0067,0.0067,0.005,0.0044
Diluted EPS,-,0.0066,0.0066,0.0049,0.0043
Basic Average Shares,-,"214,526","223,148","228,258","227,581"
Diluted Average Shares,-,"215,603","224,488","229,654","229,151"
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"1,617,500","1,692,400","1,637,200","1,457,200","1,260,900"
Net Income from Continuing & Discontinued Operation,"1,505,700","1,492,200","1,556,400","1,199,000","1,032,500"
Normalized Income,"1,505,700","1,492,200","1,556,400","1,199,000","1,032,500"
Total Money Market Investments,"223,400","272,000","310,400","246,400","174,100"
Reconciled Depreciation,"468,800","458,900","460,900","421,700","373,300"
Net Income from Continuing Operation Net Minority Interest,"1,505,700","1,492,200","1,556,400","1,199,000","1,032,500"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,0,0,0,0,0
