Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,"22,116,571","22,588,858","25,067,279","20,252,393","16,208,122"
Cost of Revenue,"19,704,110","19,909,773","20,771,871","17,682,986","14,182,215"
Gross Profit,"2,412,461","2,679,085","4,295,408","2,569,407","2,025,907"
Operating Expense,"683,901","711,248","860,722","687,531","596,761"
Operating Income,"1,728,560","1,967,837","3,434,686","1,881,876","1,429,146"
Net Non Operating Interest Income Expense,"-133,892","-121,425","-135,535","-173,580","-169,244"
Other Income Expense,"-355,180","-63,605","-69,760","41,661","38,757"
Pretax Income,"1,239,488","1,782,807","3,229,391","1,749,957","1,298,659"
Tax Provision,"344,992","411,897","748,307","369,386","398,243"
Net Income Common Stockholders,"783,971","1,264,108","2,351,423","1,314,139","793,639"
Average Dilution Earnings,-3,1,27,10,1
Diluted NI Available to Com Stockholders,"783,968","1,264,109","2,351,450","1,314,149","793,640"
Basic EPS,-,0.0041,0.0074,0.0041,0.0025
Diluted EPS,-,0.0041,0.0074,0.0041,0.0025
Basic Average Shares,-,"305,040","315,858","319,990","319,563"
Diluted Average Shares,-,"305,503","316,733","320,773","319,822"
Total Expenses,"20,388,011","20,621,021","21,632,593","18,370,517","14,778,976"
Interest Income,"34,000","35,933","25,721","13,702","11,935"
Interest Expense,"167,892","157,358","161,256","187,282","181,179"
Net Interest Income,"-133,892","-121,425","-135,535","-173,580","-169,244"
Net Income from Continuing & Discontinued Operation,"789,668","1,271,143","2,360,767","1,318,688","796,271"
Normalized Income,"1,045,688","1,322,601","2,445,247","1,318,688","796,271"
EBIT,"1,407,380","1,940,165","3,390,647","1,937,239","1,479,838"
EBITDA,"2,159,637",-,-,-,-
Reconciled Cost of Revenue,"19,704,110","19,909,773","20,771,871","17,682,986","14,182,215"
Reconciled Depreciation,"752,257","734,653","719,637","727,061","687,054"
Net Income from Continuing Operation Net Minority Interest,"789,668","1,271,143","2,360,767","1,318,688","796,271"
Total Unusual Items Excluding Goodwill,"-354,762","-66,916","-110,000",0,0
Total Unusual Items,"-354,762","-66,916","-110,000",0,0
Normalized EBITDA,"2,514,399","2,741,734","4,220,284","2,664,300","2,166,892"
Tax Rate for Calcs,0,0,0,0,0
Tax Effect of Unusual Items,"-98,742","-15,458","-25,520",0,0
